"Source","Target","Weight"
"v-1","v-2",0.05828
"v-1","v-4",0.05792
"v-1","v-8",0.05954
"v-1","v-9",0.0593
"v-1","v-11",0.0602
"v-1","v-12",0.06008
"v-1","v-13",0.05906
"v-1","v-14",0.05824
"v-1","v-15",0.05932
"v-1","v-18",0.05916
"v-1","v-19",0.05822
"v-1","v-20",0.058
"v-1","v-25",0.05894
"v-1","v-26",0.0585
"v-1","v-27",0.05768
"v-1","v-29",0.05938
"v-1","v-31",0.06052
"v-1","v-32",0.05934
"v-1","v-34",0.05776
"v-2","v-3",0.0615
"v-2","v-4",0.05872
"v-2","v-5",0.06116
"v-2","v-7",0.0592
"v-2","v-8",0.05774
"v-2","v-10",0.06052
"v-2","v-12",0.05786
"v-2","v-16",0.05986
"v-2","v-17",0.06164
"v-2","v-19",0.0591
"v-2","v-22",0.0608
"v-2","v-23",0.05974
"v-2","v-24",0.06032
"v-2","v-27",0.05806
"v-2","v-28",0.06142
"v-2","v-30",0.05888
"v-2","v-33",0.0602
"v-2","v-34",0.05838
"v-2","v-35",0.05972
"v-3","v-5",0.06082
"v-3","v-7",0.0597
"v-3","v-9",0.05798
"v-3","v-10",0.0583
"v-3","v-16",0.05966
"v-3","v-17",0.05946
"v-3","v-19",0.06018
"v-3","v-22",0.06102
"v-3","v-23",0.06044
"v-3","v-24",0.0617
"v-3","v-27",0.05848
"v-3","v-28",0.05842
"v-3","v-30",0.05834
"v-3","v-33",0.05902
"v-3","v-35",0.0589
"v-4","v-5",0.05862
"v-4","v-7",0.05806
"v-4","v-8",0.05796
"v-4","v-10",0.0579
"v-4","v-16",0.05788
"v-4","v-17",0.05866
"v-4","v-19",0.05834
"v-4","v-22",0.06066
"v-4","v-23",0.05952
"v-4","v-24",0.05814
"v-4","v-25",0.05806
"v-4","v-27",0.0586
"v-4","v-28",0.06002
"v-4","v-30",0.05836
"v-4","v-33",0.0607
"v-4","v-35",0.06078
"v-5","v-7",0.06124
"v-5","v-10",0.0596
"v-5","v-16",0.06076
"v-5","v-17",0.05984
"v-5","v-19",0.0603
"v-5","v-23",0.05948
"v-5","v-24",0.06066
"v-5","v-27",0.05814
"v-5","v-28",0.06142
"v-5","v-30",0.0616
"v-5","v-33",0.05984
"v-5","v-35",0.06054
"v-6","v-8",0.0606
"v-6","v-9",0.0596
"v-6","v-11",0.05968
"v-6","v-12",0.06228
"v-6","v-13",0.05978
"v-6","v-14",0.06002
"v-6","v-15",0.05842
"v-6","v-16",0.05826
"v-6","v-18",0.06008
"v-6","v-20",0.05888
"v-6","v-21",0.06052
"v-6","v-25",0.05984
"v-6","v-26",0.06084
"v-6","v-27",0.05784
"v-6","v-29",0.0599
"v-6","v-31",0.0597
"v-6","v-32",0.06098
"v-6","v-34",0.05892
"v-7","v-9",0.05872
"v-7","v-10",0.06108
"v-7","v-16",0.061
"v-7","v-17",0.0609
"v-7","v-19",0.05962
"v-7","v-22",0.05968
"v-7","v-23",0.05956
"v-7","v-24",0.06182
"v-7","v-27",0.05892
"v-7","v-28",0.06114
"v-7","v-30",0.05948
"v-7","v-32",0.05908
"v-7","v-33",0.06092
"v-7","v-35",0.0593
"v-8","v-9",0.0597
"v-8","v-12",0.06012
"v-8","v-13",0.05856
"v-8","v-14",0.06118
"v-8","v-15",0.06056
"v-8","v-18",0.06074
"v-8","v-20",0.05936
"v-8","v-21",0.059
"v-8","v-25",0.0609
"v-8","v-26",0.05948
"v-8","v-29",0.06024
"v-8","v-31",0.05986
"v-8","v-32",0.05944
"v-9","v-11",0.05944
"v-9","v-12",0.05938
"v-9","v-13",0.05936
"v-9","v-14",0.0585
"v-9","v-15",0.05816
"v-9","v-18",0.0613
"v-9","v-20",0.05858
"v-9","v-21",0.05936
"v-9","v-25",0.05904
"v-9","v-26",0.0602
"v-9","v-29",0.0607
"v-9","v-31",0.05944
"v-9","v-32",0.05988
"v-9","v-34",0.05862
"v-10","v-14",0.05772
"v-10","v-16",0.05988
"v-10","v-17",0.06166
"v-10","v-19",0.06126
"v-10","v-21",0.05838
"v-10","v-22",0.05954
"v-10","v-23",0.05912
"v-10","v-24",0.06042
"v-10","v-27",0.05922
"v-10","v-28",0.0584
"v-10","v-29",0.05766
"v-10","v-30",0.06034
"v-10","v-33",0.06068
"v-10","v-35",0.0614
"v-11","v-12",0.05884
"v-11","v-13",0.05908
"v-11","v-14",0.0592
"v-11","v-15",0.05836
"v-11","v-18",0.05934
"v-11","v-20",0.05948
"v-11","v-21",0.0597
"v-11","v-23",0.05768
"v-11","v-25",0.06072
"v-11","v-26",0.0599
"v-11","v-29",0.05944
"v-11","v-31",0.05924
"v-11","v-32",0.0607
"v-11","v-34",0.05844
"v-12","v-13",0.05956
"v-12","v-14",0.06162
"v-12","v-15",0.06026
"v-12","v-18",0.0603
"v-12","v-20",0.05946
"v-12","v-21",0.0593
"v-12","v-24",0.05794
"v-12","v-25",0.0599
"v-12","v-26",0.06064
"v-12","v-29",0.0583
"v-12","v-31",0.05798
"v-12","v-32",0.0586
"v-12","v-34",0.05986
"v-13","v-14",0.06068
"v-13","v-15",0.06066
"v-13","v-18",0.06098
"v-13","v-20",0.05954
"v-13","v-21",0.05952
"v-13","v-22",0.05766
"v-13","v-25",0.05986
"v-13","v-26",0.05902
"v-13","v-29",0.05912
"v-13","v-31",0.06054
"v-13","v-32",0.05926
"v-13","v-34",0.05778
"v-14","v-15",0.06126
"v-14","v-18",0.05946
"v-14","v-19",0.05776
"v-14","v-20",0.06148
"v-14","v-21",0.0586
"v-14","v-25",0.05822
"v-14","v-26",0.0605
"v-14","v-29",0.05896
"v-14","v-31",0.06038
"v-14","v-32",0.05908
"v-15","v-18",0.0587
"v-15","v-21",0.05936
"v-15","v-25",0.05958
"v-15","v-26",0.0605
"v-15","v-29",0.06216
"v-15","v-31",0.05846
"v-15","v-32",0.05888
"v-15","v-33",0.05776
"v-16","v-17",0.05956
"v-16","v-19",0.06116
"v-16","v-21",0.05794
"v-16","v-22",0.0593
"v-16","v-23",0.06016
"v-16","v-24",0.05964
"v-16","v-27",0.06002
"v-16","v-28",0.05906
"v-16","v-30",0.06048
"v-16","v-33",0.05882
"v-16","v-35",0.0606
"v-17","v-19",0.06006
"v-17","v-22",0.06002
"v-17","v-23",0.059
"v-17","v-24",0.06058
"v-17","v-27",0.06004
"v-17","v-28",0.06098
"v-17","v-30",0.06134
"v-17","v-33",0.0596
"v-17","v-34",0.05948
"v-17","v-35",0.05888
"v-18","v-20",0.06106
"v-18","v-21",0.05976
