"Id","total_activity","activity_level"
"v-1",0.65948,"Below"
"v-2",0.8322,"Above"
"v-3",0.82494,"Below"
"v-4",0.7741,"Below"
"v-5",0.80798,"Below"
"v-6",0.8289,"Above"
"v-7",0.83064,"Above"
"v-8",0.82766,"Below"
"v-9",0.8237,"Below"
"v-10",0.83214,"Above"
"v-11",0.82626,"Below"
"v-12",0.83056,"Above"
"v-13",0.823,"Below"
"v-14",0.82862,"Above"
"v-15",0.7531,"Below"
"v-16",0.8317,"Above"
"v-17",0.8323,"Above"
"v-18",0.83468,"Above"
"v-19",0.82462,"Below"
"v-20",0.83266,"Above"
"v-21",0.7852,"Below"
"v-22",0.80792,"Below"
"v-23",0.82914,"Above"
"v-24",0.8094,"Below"
"v-25",0.82964,"Above"
"v-26",0.83406,"Above"
"v-27",0.74188,"Below"
"v-28",0.83268,"Above"
"v-29",0.82316,"Below"
"v-30",0.83012,"Above"
"v-31",0.80192,"Below"
"v-32",0.82574,"Below"
"v-33",0.83326,"Above"
"v-34",0.30328,"Below"
"v-35",0.83214,"Above"
