"Source","Target","Weight"
"v-1","v-2",0.08212
"v-1","v-3",0.08172
"v-1","v-8",0.0826
"v-1","v-9",0.08206
"v-1","v-11",0.0817
"v-1","v-12",0.08228
"v-1","v-13",0.0836
"v-1","v-17",0.08184
"v-1","v-18",0.0825
"v-1","v-19",0.08198
"v-1","v-24",0.08168
"v-2","v-3",0.08346
"v-2","v-4",0.08392
"v-2","v-6",0.0839
"v-2","v-8",0.083
"v-2","v-10",0.08284
"v-2","v-11",0.08386
"v-2","v-12",0.08174
"v-2","v-13",0.0834
"v-2","v-14",0.08274
"v-2","v-16",0.08232
"v-2","v-18",0.08268
"v-2","v-20",0.08504
"v-3","v-4",0.0824
"v-3","v-6",0.08256
"v-3","v-8",0.08188
"v-3","v-9",0.08286
"v-3","v-13",0.08208
"v-3","v-14",0.08238
"v-3","v-16",0.08168
"v-3","v-20",0.08192
"v-3","v-21",0.0816
"v-3","v-23",0.08314
"v-3","v-24",0.08272
"v-4","v-8",0.08248
"v-4","v-9",0.0822
"v-4","v-11",0.08164
"v-4","v-13",0.08318
"v-4","v-14",0.08168
"v-4","v-15",0.08202
"v-4","v-18",0.0818
"v-4","v-19",0.08242
"v-4","v-20",0.08276
"v-4","v-21",0.08168
"v-4","v-22",0.08244
"v-4","v-23",0.08364
"v-4","v-25",0.0824
"v-5","v-10",0.08342
"v-5","v-11",0.08334
"v-5","v-12",0.08172
"v-5","v-13",0.08248
"v-5","v-14",0.08396
"v-5","v-15",0.08386
"v-5","v-18",0.08196
"v-5","v-21",0.08294
"v-5","v-23",0.0824
"v-5","v-25",0.08288
"v-6","v-7",0.08324
"v-6","v-8",0.0825
"v-6","v-9",0.08248
"v-6","v-13",0.08234
"v-6","v-16",0.08298
"v-6","v-17",0.08318
"v-6","v-18",0.08522
"v-6","v-20",0.08246
"v-6","v-23",0.08392
"v-6","v-24",0.08326
"v-6","v-25",0.0833
"v-7","v-8",0.08166
"v-7","v-10",0.0836
"v-7","v-11",0.0831
"v-7","v-14",0.08172
"v-7","v-15",0.08174
"v-7","v-16",0.08198
"v-7","v-17",0.0828
"v-7","v-19",0.08274
"v-7","v-20",0.08264
"v-7","v-23",0.08214
"v-7","v-25",0.08384
"v-8","v-9",0.08256
"v-8","v-11",0.0821
"v-8","v-12",0.08208
"v-8","v-13",0.08278
"v-8","v-14",0.08278
"v-8","v-16",0.08172
"v-8","v-18",0.08398
"v-8","v-21",0.08158
"v-8","v-22",0.08324
"v-9","v-10",0.08246
"v-9","v-11",0.08232
"v-9","v-12",0.08262
"v-9","v-14",0.08256
"v-9","v-16",0.08162
"v-9","v-20",0.0834
"v-9","v-21",0.08184
"v-9","v-24",0.08182
"v-9","v-25",0.08172
"v-10","v-13",0.08164
"v-10","v-14",0.08274
"v-10","v-15",0.08426
"v-10","v-20",0.0831
"v-10","v-21",0.08242
"v-10","v-22",0.08328
"v-10","v-23",0.0844
"v-10","v-25",0.08316
"v-11","v-13",0.08168
"v-11","v-15",0.08398
"v-11","v-17",0.0824
"v-11","v-18",0.08342
"v-11","v-20",0.08168
"v-11","v-24",0.08382
"v-11","v-25",0.08186
"v-12","v-14",0.08196
"v-12","v-15",0.0823
"v-12","v-16",0.08368
"v-12","v-17",0.0816
"v-12","v-18",0.08304
"v-12","v-21",0.08208
"v-12","v-22",0.08364
"v-12","v-24",0.08366
"v-13","v-21",0.082
"v-13","v-22",0.08188
"v-13","v-23",0.0834
"v-13","v-24",0.08296
"v-13","v-25",0.0823
"v-14","v-18",0.0835
"v-14","v-19",0.08174
"v-14","v-22",0.08178
"v-14","v-23",0.08192
"v-15","v-18",0.08256
"v-15","v-21",0.0825
"v-15","v-24",0.08198
"v-15","v-25",0.08482
"v-16","v-17",0.0835
"v-16","v-18",0.08234
"v-16","v-22",0.08248
"v-16","v-25",0.08284
"v-17","v-24",0.08418
"v-17","v-25",0.0831
"v-18","v-22",0.08178
"v-18","v-24",0.08166
"v-19","v-20",0.08186
"v-19","v-21",0.08162
"v-19","v-22",0.08364
"v-19","v-23",0.08332
"v-19","v-25",0.08242
"v-20","v-21",0.08228
"v-20","v-22",0.08226
"v-20","v-23",0.08442
"v-20","v-25",0.08174
"v-21","v-22",0.08176
"v-21","v-23",0.08432
"v-21","v-25",0.0816
"v-22","v-23",0.0822
"v-22","v-24",0.08244
"v-22","v-25",0.0816
"v-23","v-25",0.08318
