"Source","Target","Weight"
"v-1","v-2",0.0697
"v-1","v-3",0.06938
"v-1","v-4",0.06954
"v-1","v-7",0.06912
"v-1","v-8",0.06782
"v-1","v-9",0.07188
"v-1","v-13",0.07006
"v-1","v-16",0.06992
"v-1","v-18",0.06946
"v-1","v-19",0.0681
"v-1","v-21",0.06826
"v-1","v-23",0.0684
"v-1","v-24",0.07054
"v-1","v-27",0.068
"v-1","v-28",0.06824
"v-1","v-30",0.07086
"v-2","v-3",0.06946
"v-2","v-4",0.06998
"v-2","v-7",0.06888
"v-2","v-9",0.07022
"v-2","v-13",0.0691
"v-2","v-18",0.0699
"v-2","v-23",0.06998
"v-2","v-24",0.0704
"v-2","v-27",0.06858
"v-2","v-28",0.06896
"v-2","v-30",0.0691
"v-3","v-4",0.0693
"v-3","v-9",0.07228
"v-3","v-13",0.071
"v-3","v-16",0.07038
"v-3","v-18",0.07144
"v-3","v-21",0.0684
"v-3","v-23",0.06928
"v-3","v-24",0.0715
"v-3","v-27",0.0681
"v-3","v-28",0.06976
"v-3","v-30",0.06876
"v-4","v-6",0.0688
"v-4","v-7",0.06792
"v-4","v-9",0.06998
"v-4","v-13",0.06956
"v-4","v-16",0.07008
"v-4","v-18",0.06962
"v-4","v-19",0.0699
"v-4","v-23",0.06926
"v-4","v-24",0.07238
"v-4","v-27",0.06996
"v-4","v-30",0.07006
"v-5","v-6",0.07056
"v-5","v-8",0.06854
"v-5","v-10",0.0701
"v-5","v-11",0.07004
"v-5","v-14",0.07054
"v-5","v-15",0.06874
"v-5","v-20",0.0696
"v-5","v-21",0.07038
"v-5","v-22",0.07188
"v-5","v-25",0.06936
"v-5","v-26",0.07034
"v-5","v-29",0.0679
"v-5","v-30",0.06816
"v-6","v-7",0.06806
"v-6","v-8",0.06816
"v-6","v-10",0.07048
"v-6","v-11",0.0719
"v-6","v-12",0.07052
"v-6","v-14",0.07172
"v-6","v-15",0.06876
"v-6","v-17",0.07036
"v-6","v-19",0.06836
"v-6","v-20",0.07214
"v-6","v-22",0.07126
"v-6","v-25",0.07072
"v-6","v-26",0.07084
"v-6","v-29",0.06842
"v-7","v-9",0.07012
"v-7","v-11",0.06812
"v-7","v-12",0.06916
"v-7","v-19",0.0683
"v-7","v-20",0.0681
"v-7","v-23",0.06876
"v-7","v-28",0.06798
"v-8","v-10",0.06896
"v-8","v-11",0.06952
"v-8","v-12",0.0701
"v-8","v-14",0.06954
"v-8","v-17",0.07054
"v-8","v-20",0.06926
"v-8","v-22",0.0709
"v-8","v-25",0.0678
"v-8","v-26",0.07082
"v-8","v-29",0.069
"v-9","v-13",0.07018
"v-9","v-15",0.06902
"v-9","v-16",0.06996
"v-9","v-18",0.06836
"v-9","v-19",0.06812
"v-9","v-23",0.07188
"v-9","v-24",0.06918
"v-9","v-27",0.06928
"v-9","v-28",0.07128
"v-9","v-30",0.07048
"v-10","v-11",0.06954
"v-10","v-12",0.07164
"v-10","v-14",0.06916
"v-10","v-15",0.06894
"v-10","v-20",0.06946
"v-10","v-22",0.06964
"v-10","v-25",0.07026
"v-10","v-26",0.06918
"v-10","v-29",0.07054
"v-11","v-12",0.07046
"v-11","v-14",0.07076
"v-11","v-17",0.0683
"v-11","v-20",0.06904
"v-11","v-22",0.06886
"v-11","v-25",0.07144
"v-11","v-26",0.0707
"v-11","v-29",0.0698
"v-12","v-14",0.0704
"v-12","v-15",0.06918
"v-12","v-17",0.06914
"v-12","v-20",0.07084
"v-12","v-21",0.06812
"v-12","v-22",0.0704
"v-12","v-25",0.07212
"v-12","v-26",0.06942
"v-12","v-29",0.07034
"v-13","v-14",0.06778
"v-13","v-15",0.06788
"v-13","v-16",0.06996
"v-13","v-18",0.07004
"v-13","v-21",0.06918
"v-13","v-23",0.07018
"v-13","v-24",0.0705
"v-13","v-27",0.06794
"v-13","v-30",0.07016
"v-14","v-15",0.07026
"v-14","v-17",0.0681
"v-14","v-19",0.06928
"v-14","v-20",0.06906
"v-14","v-21",0.0682
"v-14","v-22",0.0712
"v-14","v-25",0.07154
"v-14","v-26",0.06778
"v-14","v-29",0.0679
