"Thresh1","Thresh2","n","sim","chunk","Id","ThreshBias","ThreshBiasBounded"
45.7000000000001,54.2999999999995,35,1,1,"v-1",-8.59999999999943,-8.59999999999943
98.0999999999999,1.9,35,1,1,"v-2",96.1999999999999,96.1999999999999
92.0000000000003,7.99999999999997,35,1,1,"v-3",84.0000000000003,84.0000000000003
80.1999999999998,19.7999999999997,35,1,1,"v-4",60.4000000000001,60.4000000000001
96.1,3.9,35,1,1,"v-5",92.2,92.2
2.3,97.7,35,1,1,"v-6",-95.4,-95.4
88.8000000000005,11.2,35,1,1,"v-7",77.6000000000005,77.6000000000005
4.69999999999983,95.2999999999997,35,1,1,"v-8",-90.5999999999999,-90.5999999999999
9.90000000000006,90.100000000001,35,1,1,"v-9",-80.2000000000009,-80.2000000000009
98.5,1.5,35,1,1,"v-10",97,97
13.6,86.3999999999999,35,1,1,"v-11",-72.7999999999999,-72.7999999999999
10.8,89.2000000000002,35,1,1,"v-12",-78.4000000000002,-78.4000000000002
0.7,99.3,35,1,1,"v-13",-98.6,-98.6
0.5,99.5,35,1,1,"v-14",-99,-99
14.3999999999999,85.6000000000002,35,1,1,"v-15",-71.2000000000003,-71.2000000000003
97.8,2.2,35,1,1,"v-16",95.6,95.6
84.9000000000006,15.1000000000001,35,1,1,"v-17",69.8000000000005,69.8000000000005
4,95.9999999999999,35,1,1,"v-18",-91.9999999999999,-91.9999999999999
80.0000000000004,20,35,1,1,"v-19",60.0000000000005,60.0000000000005
3.7,96.3000000000001,35,1,1,"v-20",-92.6000000000001,-92.6000000000001
0.4,99.6,35,1,1,"v-21",-99.2,-99.2
98.8,1.2,35,1,1,"v-22",97.6,97.6
99.9,0.1,35,1,1,"v-23",99.8,99.8
98.7999999999999,1.2,35,1,1,"v-24",97.5999999999999,97.5999999999999
4.10000000000001,95.9,35,1,1,"v-25",-91.8,-91.8
0.7,99.3,35,1,1,"v-26",-98.6,-98.6
83.6999999999992,16.2999999999998,35,1,1,"v-27",67.3999999999994,67.3999999999994
99,1,35,1,1,"v-28",98,98
19.5,80.5000000000005,35,1,1,"v-29",-61.0000000000005,-61.0000000000005
95.4000000000001,4.59999999999992,35,1,1,"v-30",90.8000000000002,90.8000000000002
1.5,98.5,35,1,1,"v-31",-97,-97
1.7,98.3000000000001,35,1,1,"v-32",-96.6000000000001,-96.6000000000001
98.2,1.8,35,1,1,"v-33",96.4,96.4
41.2999999999996,58.7000000000002,35,1,1,"v-34",-17.4000000000006,-17.4000000000006
90.5000000000002,9.49999999999998,35,1,1,"v-35",81.0000000000002,81.0000000000002
NA,NA,NA,NA,NA,"Max",100,100
NA,NA,NA,NA,NA,"Min",-100,-100
