"Source","Target","Weight"
"v-1","v-2",0.0235
"v-1","v-3",0.02802
"v-1","v-4",0.02518
"v-1","v-5",0.0244
"v-1","v-6",0.02444
"v-1","v-7",0.02596
"v-1","v-8",0.02676
"v-1","v-9",0.02592
"v-1","v-10",0.02398
"v-1","v-11",0.0269
"v-1","v-12",0.02382
"v-1","v-13",0.02554
"v-1","v-14",0.02664
"v-1","v-15",0.02622
"v-1","v-16",0.02496
"v-1","v-17",0.02392
"v-1","v-18",0.02548
"v-1","v-19",0.0257
"v-1","v-20",0.02492
"v-1","v-21",0.02444
"v-1","v-22",0.02568
"v-1","v-23",0.02424
"v-1","v-24",0.02618
"v-1","v-25",0.02708
"v-1","v-26",0.02704
"v-1","v-27",0.02408
"v-1","v-28",0.02352
"v-1","v-29",0.0262
"v-1","v-30",0.02456
"v-1","v-31",0.02454
"v-1","v-32",0.02582
"v-1","v-33",0.0234
"v-1","v-34",0.02522
"v-1","v-35",0.02634
"v-1","v-36",0.0267
"v-1","v-37",0.0264
"v-1","v-38",0.02426
"v-1","v-39",0.02648
"v-1","v-40",0.02442
"v-1","v-41",0.02462
"v-1","v-42",0.02642
"v-1","v-43",0.02682
"v-1","v-44",0.02438
"v-1","v-45",0.02476
"v-1","v-46",0.02612
"v-1","v-47",0.02454
"v-1","v-48",0.02414
"v-1","v-49",0.02548
"v-1","v-50",0.02628
"v-1","v-51",0.02496
"v-1","v-52",0.0248
"v-1","v-53",0.02486
"v-1","v-54",0.0234
"v-1","v-55",0.02528
"v-1","v-56",0.02558
"v-1","v-57",0.02472
"v-1","v-58",0.02574
"v-1","v-59",0.02434
"v-1","v-60",0.02552
"v-1","v-61",0.02538
"v-1","v-62",0.02392
"v-1","v-63",0.02484
"v-1","v-64",0.02378
"v-1","v-65",0.02516
"v-1","v-66",0.02368
"v-1","v-67",0.02668
"v-1","v-68",0.02586
"v-1","v-69",0.02742
"v-1","v-70",0.02598
"v-1","v-71",0.02534
"v-1","v-72",0.02686
"v-1","v-73",0.02502
"v-1","v-74",0.02528
"v-1","v-75",0.02386
"v-1","v-76",0.02654
"v-1","v-77",0.02376
"v-1","v-78",0.02408
"v-1","v-79",0.02478
"v-1","v-80",0.02364
"v-2","v-3",0.02352
"v-2","v-4",0.02362
"v-2","v-5",0.0253
"v-2","v-6",0.02538
"v-2","v-7",0.02556
"v-2","v-8",0.0257
"v-2","v-9",0.0246
"v-2","v-10",0.0256
"v-2","v-11",0.02498
"v-2","v-12",0.02604
"v-2","v-13",0.02556
"v-2","v-14",0.02468
"v-2","v-15",0.0244
"v-2","v-16",0.02494
"v-2","v-17",0.02562
"v-2","v-18",0.02456
"v-2","v-19",0.0244
"v-2","v-20",0.02582
"v-2","v-21",0.0261
"v-2","v-22",0.02564
"v-2","v-23",0.0246
"v-2","v-24",0.02364
"v-2","v-25",0.02388
"v-2","v-26",0.0238
"v-2","v-27",0.0247
"v-2","v-28",0.02668
"v-2","v-29",0.02328
"v-2","v-30",0.0263
"v-2","v-31",0.02752
"v-2","v-32",0.02608
"v-2","v-33",0.02548
"v-2","v-34",0.02702
"v-2","v-35",0.02404
"v-2","v-36",0.02348
"v-2","v-37",0.0264
"v-2","v-38",0.026
"v-2","v-39",0.02488
"v-2","v-40",0.026
"v-2","v-41",0.02462
"v-2","v-42",0.02346
"v-2","v-43",0.02462
"v-2","v-44",0.0257
"v-2","v-45",0.02542
"v-2","v-46",0.0247
"v-2","v-47",0.02466
"v-2","v-48",0.02554
"v-2","v-49",0.0244
"v-2","v-50",0.02516
"v-2","v-51",0.02588
"v-2","v-52",0.02578
"v-2","v-53",0.02696
"v-2","v-54",0.0257
"v-2","v-55",0.02488
"v-2","v-56",0.02402
"v-2","v-57",0.02716
"v-2","v-58",0.02336
"v-2","v-59",0.02654
"v-2","v-60",0.02528
"v-2","v-61",0.02428
"v-2","v-62",0.02632
"v-2","v-63",0.0253
"v-2","v-64",0.0256
"v-2","v-65",0.02318
"v-2","v-66",0.0246
"v-2","v-67",0.0241
"v-2","v-68",0.02478
"v-2","v-69",0.02372
"v-2","v-70",0.02416
"v-2","v-71",0.02558
"v-2","v-72",0.02454
"v-2","v-73",0.02404
"v-2","v-74",0.02444
"v-2","v-75",0.02606
"v-2","v-76",0.02514
"v-2","v-77",0.0255
"v-2","v-78",0.026
"v-2","v-79",0.02426
"v-2","v-80",0.02676
"v-3","v-4",0.02438
"v-3","v-5",0.02478
"v-3","v-6",0.0237
"v-3","v-7",0.02708
"v-3","v-8",0.02574
"v-3","v-9",0.0264
"v-3","v-10",0.02226
"v-3","v-11",0.02602
"v-3","v-12",0.02346
"v-3","v-13",0.02424
"v-3","v-14",0.02568
"v-3","v-15",0.02712
"v-3","v-16",0.02524
"v-3","v-17",0.02378
"v-3","v-18",0.02626
"v-3","v-19",0.02584
"v-3","v-20",0.02388
"v-3","v-21",0.02364
"v-3","v-22",0.0242
"v-3","v-23",0.02772
"v-3","v-24",0.02718
"v-3","v-25",0.02706
"v-3","v-26",0.02532
"v-3","v-27",0.02406
"v-3","v-28",0.02492
"v-3","v-29",0.0263
"v-3","v-30",0.02432
"v-3","v-31",0.0231
"v-3","v-32",0.02518
"v-3","v-33",0.02362
"v-3","v-34",0.0237
"v-3","v-35",0.02526
"v-3","v-36",0.02618
"v-3","v-37",0.02516
"v-3","v-38",0.02438
"v-3","v-39",0.0264
"v-3","v-40",0.02394
"v-3","v-41",0.02486
"v-3","v-42",0.0262
"v-3","v-43",0.02678
"v-3","v-44",0.0235
"v-3","v-45",0.02466
"v-3","v-46",0.02626
"v-3","v-47",0.0249
