"Thresh1","Thresh2","n","sim","chunk","Id","ThreshRatio","ThreshRatioBounded"
1.8,98.1999999999998,80,1,1,"v-1",-3.9992195504583,-3.9992195504583
98.3,1.7,80,1,1,"v-2",4.05739577609095,4.05739577609095
0.5,99.5,80,1,1,"v-3",-5.29330482472449,-5
1.2,98.8,80,1,1,"v-4",-4.41077604795987,-4.41077604795987
99,1,80,1,1,"v-5",4.59511985013459,4.59511985013459
99.8,0.2,80,1,1,"v-6",6.21260609575152,5
7.7,92.3000000000002,80,1,1,"v-7",-2.48382381264917,-2.48382381264917
0.4,99.6,80,1,1,"v-8",-5.51745289646471,-5
0.2,99.8,80,1,1,"v-9",-6.21260609575152,-5
98.8,1.2,80,1,1,"v-10",4.41077604795987,4.41077604795987
0.600000000000001,99.4,80,1,1,"v-11",-5.10997773742852,-5
100,0,80,1,1,"v-12",Inf,5
0.9,99.1,80,1,1,"v-13",-4.70148995699377,-4.70148995699377
0.4,99.6,80,1,1,"v-14",-5.51745289646471,-5
0.3,99.7,80,1,1,"v-15",-5.80613848129373,-5
0.3,99.7,80,1,1,"v-16",-5.80613848129373,-5
99.4,0.6,80,1,1,"v-17",5.10997773742852,5
6.50000000000002,93.4999999999999,80,1,1,"v-18",-2.66615925939305,-2.66615925939305
1.8,98.2,80,1,1,"v-19",-3.9992195504583,-3.9992195504583
97.6000000000001,2.4,80,1,1,"v-20",3.70540875606515,3.70540875606515
99.9,0.1,80,1,1,"v-21",6.90675477864855,5
99.0000000000001,1,80,1,1,"v-22",4.59511985013459,4.59511985013459
0.9,99.1,80,1,1,"v-23",-4.70148995699377,-4.70148995699377
4.00000000000001,96,80,1,1,"v-24",-3.17805383034794,-3.17805383034794
1.9,98.1,80,1,1,"v-25",-3.94413348039892,-3.94413348039892
19.4999999999999,80.5000000000003,80,1,1,"v-26",-1.41784271885482,-1.41784271885482
99.5,0.5,80,1,1,"v-27",5.29330482472449,5
94.7,5.3,80,1,1,"v-28",2.88300717963396,2.88300717963396
3.8,96.2000000000001,80,1,1,"v-29",-3.23142829093932,-3.23142829093932
97.2,2.8,80,1,1,"v-30",3.54715129428524,3.54715129428524
99.6,0.4,80,1,1,"v-31",5.51745289646471,5
99.1999999999999,0.8,80,1,1,"v-32",4.82028156560504,4.82028156560504
98.4999999999999,1.5,80,1,1,"v-33",4.18459144006988,4.18459144006988
96.7,3.3,80,1,1,"v-34",3.37769093398681,3.37769093398681
0,100,80,1,1,"v-35",-Inf,-5
0.6,99.4,80,1,1,"v-36",-5.10997773742852,-5
99.7,0.3,80,1,1,"v-37",5.80613848129373,5
99.3000000000001,0.7,80,1,1,"v-38",4.95482051498986,4.95482051498986
0,100,80,1,1,"v-39",-Inf,-5
91.1999999999999,8.80000000000001,80,1,1,"v-40",2.33830317559612,2.33830317559612
97.0000000000001,3,80,1,1,"v-41",3.47609868983527,3.47609868983527
1.6,98.4000000000001,80,1,1,"v-42",-4.11903717481247,-4.11903717481247
0.1,99.9,80,1,1,"v-43",-6.90675477864855,-5
99.6,0.4,80,1,1,"v-44",5.51745289646471,5
64.7999999999998,35.1999999999998,80,1,1,"v-45",0.61025952075418,0.61025952075418
1.9,98.1000000000002,80,1,1,"v-46",-3.94413348039892,-3.94413348039892
97.5000000000001,2.5,80,1,1,"v-47",3.66356164612965,3.66356164612965
99.1,0.9,80,1,1,"v-48",4.70148995699377,4.70148995699377
99.5,0.5,80,1,1,"v-49",5.29330482472449,5
0.3,99.7,80,1,1,"v-50",-5.80613848129373,-5
96.1999999999999,3.8,80,1,1,"v-51",3.23142829093932,3.23142829093932
99.3,0.700000000000001,80,1,1,"v-52",4.95482051498986,4.95482051498986
95.2000000000001,4.8,80,1,1,"v-53",2.98736402388348,2.98736402388348
99.8,0.2,80,1,1,"v-54",6.21260609575152,5
12.3999999999988,87.5999999999999,80,1,1,"v-55",-1.95508452533145,-1.95508452533145
0.5,99.5,80,1,1,"v-56",-5.29330482472449,-5
99.5,0.5,80,1,1,"v-57",5.29330482472449,5
2.4,97.6,80,1,1,"v-58",-3.70540875606515,-3.70540875606515
99.9,0.1,80,1,1,"v-59",6.90675477864855,5
98.2000000000001,1.8,80,1,1,"v-60",3.9992195504583,3.9992195504583
0.2,99.8,80,1,1,"v-61",-6.21260609575152,-5
99.5,0.5,80,1,1,"v-62",5.29330482472449,5
95.6000000000001,4.4,80,1,1,"v-63",3.07856827913314,3.07856827913314
95.6000000000001,4.4,80,1,1,"v-64",3.07856827913314,3.07856827913314
1.3,98.7000000000001,80,1,1,"v-65",-4.32972068197194,-4.32972068197194
0.1,99.9,80,1,1,"v-66",-6.90675477864855,-5
0.200000000000001,99.8,80,1,1,"v-67",-6.21260609575152,-5
0.9,99.1,80,1,1,"v-68",-4.70148995699377,-4.70148995699377
0,100,80,1,1,"v-69",-Inf,-5
