"Source","Target","Weight"
"v-1","v-5",0.06024
"v-1","v-7",0.05916
"v-1","v-9",0.0584
"v-1","v-10",0.05796
"v-1","v-12",0.05808
"v-1","v-18",0.06044
"v-1","v-19",0.05846
"v-1","v-20",0.05966
"v-1","v-21",0.05902
"v-1","v-22",0.05818
"v-1","v-24",0.06052
"v-1","v-25",0.05858
"v-1","v-26",0.06054
"v-1","v-29",0.0584
"v-1","v-33",0.05914
"v-1","v-35",0.0586
"v-2","v-3",0.058
"v-2","v-4",0.0583
"v-2","v-5",0.0585
"v-2","v-7",0.05944
"v-2","v-8",0.05862
"v-2","v-10",0.0592
"v-2","v-12",0.05938
"v-2","v-16",0.05892
"v-2","v-18",0.0594
"v-2","v-21",0.05912
"v-2","v-23",0.05948
"v-2","v-28",0.05916
"v-2","v-29",0.05924
"v-2","v-32",0.05804
"v-2","v-34",0.0583
"v-2","v-35",0.05816
"v-3","v-4",0.05906
"v-3","v-6",0.05918
"v-3","v-7",0.06
"v-3","v-8",0.06016
"v-3","v-9",0.06
"v-3","v-11",0.05984
"v-3","v-12",0.05834
"v-3","v-13",0.05942
"v-3","v-14",0.05878
"v-3","v-15",0.05876
"v-3","v-17",0.05934
"v-3","v-20",0.05844
"v-3","v-23",0.05814
"v-3","v-24",0.05802
"v-3","v-27",0.05896
"v-3","v-28",0.05888
"v-3","v-30",0.06076
"v-3","v-31",0.05948
"v-3","v-33",0.05922
"v-4","v-7",0.05902
"v-4","v-8",0.0591
"v-4","v-11",0.06078
"v-4","v-16",0.05864
"v-4","v-17",0.05862
"v-4","v-18",0.05878
"v-4","v-24",0.05818
"v-4","v-25",0.0587
"v-4","v-26",0.05848
"v-4","v-28",0.05948
"v-4","v-30",0.05958
"v-4","v-35",0.0592
"v-5","v-6",0.05828
"v-5","v-11",0.05868
"v-5","v-12",0.05972
"v-5","v-18",0.05924
"v-5","v-20",0.06026
"v-5","v-21",0.05808
"v-5","v-22",0.05886
"v-5","v-24",0.05904
"v-5","v-25",0.05816
"v-5","v-29",0.05904
"v-5","v-32",0.06052
"v-5","v-33",0.06018
"v-5","v-34",0.05984
"v-6","v-7",0.05816
"v-6","v-10",0.05918
"v-6","v-11",0.061
"v-6","v-13",0.06008
"v-6","v-17",0.0605
"v-6","v-19",0.05928
"v-6","v-23",0.0585
"v-6","v-24",0.05944
"v-6","v-27",0.05836
"v-6","v-29",0.05832
"v-6","v-30",0.06014
"v-6","v-31",0.05836
"v-6","v-34",0.05906
"v-7","v-8",0.0595
"v-7","v-9",0.0604
"v-7","v-11",0.05818
"v-7","v-17",0.05806
"v-7","v-18",0.05834
"v-7","v-19",0.0583
"v-7","v-21",0.05848
"v-7","v-23",0.05816
"v-7","v-28",0.05884
"v-7","v-29",0.05992
"v-7","v-30",0.05826
"v-8","v-11",0.05842
"v-8","v-13",0.05958
"v-8","v-14",0.05864
"v-8","v-17",0.06072
"v-8","v-19",0.05842
"v-8","v-22",0.05822
"v-8","v-24",0.05808
"v-8","v-26",0.05812
"v-8","v-28",0.05888
"v-8","v-29",0.05838
"v-8","v-30",0.05962
"v-8","v-33",0.05874
"v-8","v-34",0.0587
"v-8","v-35",0.05838
"v-9","v-10",0.05934
"v-9","v-11",0.05832
"v-9","v-16",0.05834
"v-9","v-17",0.0587
"v-9","v-18",0.05828
"v-9","v-22",0.05898
"v-9","v-25",0.06092
"v-9","v-28",0.05906
"v-9","v-30",0.05812
"v-9","v-31",0.05904
"v-9","v-35",0.05856
"v-10","v-11",0.05848
"v-10","v-13",0.05864
"v-10","v-16",0.05948
"v-10","v-17",0.05814
"v-10","v-18",0.05852
"v-10","v-19",0.05892
"v-10","v-20",0.059
"v-10","v-21",0.05922
"v-10","v-23",0.05862
"v-10","v-27",0.05912
"v-10","v-28",0.05886
"v-10","v-30",0.05942
"v-10","v-32",0.05946
"v-10","v-35",0.05836
"v-11","v-14",0.05864
"v-11","v-16",0.05846
"v-11","v-17",0.05958
"v-11","v-19",0.05872
"v-11","v-21",0.05822
"v-11","v-23",0.0584
"v-11","v-24",0.0584
"v-11","v-27",0.05868
"v-11","v-31",0.0598
"v-11","v-33",0.06
"v-12","v-13",0.05812
"v-12","v-17",0.05852
"v-12","v-18",0.0592
"v-12","v-19",0.058
"v-12","v-20",0.0589
"v-12","v-21",0.0594
"v-12","v-26",0.05976
"v-12","v-27",0.05888
"v-12","v-32",0.0582
"v-12","v-33",0.0595
"v-12","v-34",0.05982
"v-13","v-14",0.0597
"v-13","v-17",0.05936
"v-13","v-19",0.05858
"v-13","v-22",0.05842
"v-13","v-25",0.0583
"v-13","v-27",0.05892
"v-13","v-28",0.05972
"v-13","v-29",0.0584
"v-13","v-30",0.05998
"v-13","v-31",0.05894
"v-14","v-21",0.05806
"v-14","v-22",0.0584
"v-14","v-24",0.05876
"v-14","v-26",0.05838
"v-14","v-28",0.05892
"v-14","v-30",0.06024
"v-14","v-31",0.05864
"v-14","v-32",0.05806
"v-14","v-34",0.05816
"v-15","v-16",0.05848
"v-15","v-18",0.0584
"v-15","v-20",0.05944
"v-15","v-22",0.05798
"v-15","v-23",0.05832
"v-15","v-25",0.06
"v-15","v-26",0.0598
"v-15","v-27",0.05898
"v-15","v-28",0.05852
"v-15","v-30",0.05872
"v-15","v-33",0.05808
"v-15","v-35",0.05846
"v-16","v-17",0.06006
"v-16","v-21",0.05812
"v-16","v-23",0.05918
"v-16","v-24",0.05846
"v-16","v-27",0.06056
"v-16","v-28",0.05854
"v-16","v-29",0.05902
"v-16","v-30",0.05934
"v-16","v-31",0.05986
"v-16","v-34",0.05826
"v-17","v-19",0.05874
"v-17","v-24",0.05848
"v-17","v-27",0.05838
"v-17","v-28",0.06076
"v-17","v-30",0.05888
"v-17","v-31",0.05874
"v-17","v-34",0.05844
"v-18","v-19",0.0587
"v-18","v-22",0.05804
"v-18","v-24",0.05884
"v-18","v-26",0.05862
"v-18","v-32",0.06024
"v-18","v-35",0.05996
"v-19","v-20",0.05876
"v-19","v-22",0.05862
"v-19","v-23",0.05842
"v-19","v-27",0.0595
"v-19","v-28",0.05898
"v-19","v-29",0.05898
"v-19","v-30",0.05818
"v-19","v-31",0.05962
"v-19","v-33",0.05876
"v-19","v-34",0.05952
"v-19","v-35",0.05918
"v-20","v-22",0.05922
"v-20","v-23",0.0585
"v-20","v-25",0.05944
"v-20","v-26",0.05926
"v-20","v-32",0.05946
"v-20","v-33",0.05978
"v-20","v-34",0.06056
"v-20","v-35",0.06
"v-21","v-22",0.0588
"v-21","v-24",0.05856
"v-21","v-25",0.0596
"v-21","v-27",0.05854
"v-21","v-29",0.0582
"v-21","v-30",0.0588
"v-21","v-31",0.0587
"v-21","v-32",0.05874
"v-21","v-35",0.05832
"v-22","v-23",0.0598
"v-22","v-26",0.05892
"v-22","v-29",0.05922
"v-22","v-32",0.0609
"v-22","v-33",0.05858
"v-22","v-34",0.05862
"v-22","v-35",0.05936
"v-23","v-24",0.05832
"v-23","v-25",0.05808
"v-23","v-27",0.05924
"v-23","v-28",0.06036
"v-23","v-29",0.05908
"v-23","v-33",0.05864
"v-23","v-34",0.06008
"v-23","v-35",0.05868
"v-24","v-25",0.05912
"v-24","v-28",0.05878
"v-24","v-32",0.06004
"v-24","v-34",0.05952
"v-25","v-26",0.05884
"v-25","v-27",0.0588
"v-25","v-29",0.05832
"v-25","v-32",0.05936
"v-25","v-33",0.05876
"v-25","v-34",0.05828
"v-26","v-29",0.0598
"v-26","v-32",0.0607
"v-26","v-33",0.05944
"v-26","v-35",0.06132
"v-27","v-28",0.05916
"v-27","v-29",0.0582
"v-27","v-30",0.0595
"v-27","v-34",0.05848
"v-28","v-30",0.058
"v-28","v-31",0.06084
"v-28","v-33",0.05806
"v-28","v-34",0.0586
"v-28","v-35",0.05804
"v-29","v-30",0.05796
"v-29","v-31",0.05886
"v-29","v-32",0.0583
"v-29","v-33",0.05874
"v-29","v-34",0.05832
"v-30","v-31",0.05984
"v-30","v-34",0.05846
"v-31","v-33",0.05838
"v-31","v-34",0.0603
"v-32","v-34",0.05806
"v-33","v-35",0.0584
