"Source","Target","Weight"
"v-1","v-2",0.05868
"v-1","v-3",0.058
"v-1","v-4",0.05816
"v-1","v-5",0.05854
"v-1","v-7",0.05958
"v-1","v-8",0.0596
"v-1","v-12",0.05876
"v-1","v-13",0.05862
"v-1","v-15",0.05892
"v-1","v-16",0.05856
"v-1","v-19",0.05998
"v-1","v-21",0.05984
"v-1","v-25",0.0603
"v-1","v-28",0.05894
"v-1","v-32",0.05886
"v-2","v-3",0.05806
"v-2","v-4",0.0583
"v-2","v-5",0.0588
"v-2","v-6",0.05952
"v-2","v-8",0.05952
"v-2","v-9",0.0588
"v-2","v-10",0.06052
"v-2","v-14",0.05908
"v-2","v-16",0.05904
"v-2","v-17",0.0587
"v-2","v-21",0.05858
"v-2","v-24",0.05888
"v-2","v-26",0.059
"v-2","v-29",0.05886
"v-2","v-30",0.0585
"v-2","v-33",0.05976
"v-2","v-35",0.05854
"v-3","v-7",0.05824
"v-3","v-8",0.05954
"v-3","v-10",0.058
"v-3","v-11",0.05884
"v-3","v-12",0.059
"v-3","v-13",0.05912
"v-3","v-15",0.06038
"v-3","v-16",0.05832
"v-3","v-17",0.0584
"v-3","v-21",0.0591
"v-3","v-24",0.05926
"v-3","v-27",0.05806
"v-3","v-28",0.05816
"v-3","v-29",0.05816
"v-3","v-31",0.05862
"v-3","v-33",0.05978
"v-3","v-34",0.05854
"v-3","v-35",0.0584
"v-4","v-7",0.05854
"v-4","v-9",0.05836
"v-4","v-11",0.05932
"v-4","v-12",0.05838
"v-4","v-13",0.05892
"v-4","v-14",0.05814
"v-4","v-16",0.05892
"v-4","v-18",0.0582
"v-4","v-20",0.059
"v-4","v-21",0.05862
"v-4","v-22",0.06022
"v-4","v-23",0.05858
"v-4","v-29",0.05902
"v-4","v-33",0.0583
"v-5","v-7",0.05846
"v-5","v-10",0.05876
"v-5","v-12",0.05892
"v-5","v-13",0.06032
"v-5","v-16",0.05914
"v-5","v-23",0.05952
"v-5","v-25",0.05796
"v-5","v-26",0.06058
"v-5","v-28",0.05828
"v-5","v-29",0.05894
"v-5","v-31",0.05898
"v-5","v-32",0.05808
"v-5","v-35",0.0592
"v-6","v-7",0.05934
"v-6","v-9",0.05894
"v-6","v-11",0.05882
"v-6","v-12",0.05808
"v-6","v-13",0.06042
"v-6","v-14",0.05892
"v-6","v-15",0.05812
"v-6","v-16",0.05836
"v-6","v-18",0.05886
"v-6","v-19",0.05824
"v-6","v-25",0.058
"v-6","v-26",0.0583
"v-6","v-27",0.05872
"v-6","v-28",0.05892
"v-6","v-29",0.05832
"v-6","v-30",0.06162
"v-6","v-31",0.0598
"v-6","v-33",0.05866
"v-6","v-35",0.05892
"v-7","v-11",0.05884
"v-7","v-12",0.06006
"v-7","v-20",0.05918
"v-7","v-22",0.06028
"v-7","v-25",0.05812
"v-7","v-26",0.05924
"v-7","v-27",0.05828
"v-7","v-29",0.05836
"v-7","v-31",0.0584
"v-7","v-32",0.05804
"v-7","v-33",0.0584
"v-7","v-34",0.05816
"v-8","v-11",0.05996
"v-8","v-12",0.0583
"v-8","v-13",0.0582
"v-8","v-14",0.05894
"v-8","v-15",0.05804
"v-8","v-18",0.05836
"v-8","v-19",0.05836
"v-8","v-20",0.05834
"v-8","v-25",0.05916
"v-8","v-26",0.0585
"v-8","v-27",0.0586
"v-8","v-29",0.0587
"v-8","v-31",0.05882
"v-8","v-34",0.05814
"v-8","v-35",0.05844
"v-9","v-11",0.05994
"v-9","v-12",0.05912
"v-9","v-13",0.05816
"v-9","v-14",0.05886
"v-9","v-15",0.05996
"v-9","v-16",0.05968
"v-9","v-21",0.05812
"v-9","v-24",0.05798
"v-9","v-27",0.05888
"v-9","v-34",0.05898
"v-10","v-11",0.05854
"v-10","v-13",0.05856
"v-10","v-14",0.06004
"v-10","v-16",0.059
"v-10","v-17",0.05864
"v-10","v-18",0.05886
"v-10","v-19",0.05878
"v-10","v-20",0.05892
"v-10","v-21",0.0581
"v-10","v-23",0.05878
"v-10","v-25",0.05828
"v-10","v-26",0.06046
"v-10","v-27",0.05852
