"Source","Target","Weight"
"v-1","v-2",0.05842
"v-1","v-3",0.05846
"v-1","v-6",0.05856
"v-1","v-9",0.05836
"v-1","v-10",0.05876
"v-1","v-11",0.05852
"v-1","v-13",0.05904
"v-1","v-14",0.06066
"v-1","v-17",0.0586
"v-1","v-19",0.05832
"v-1","v-21",0.058
"v-1","v-24",0.05866
"v-1","v-26",0.0586
"v-1","v-29",0.05918
"v-1","v-30",0.0583
"v-1","v-32",0.05936
"v-1","v-33",0.06
"v-2","v-4",0.05824
"v-2","v-10",0.05996
"v-2","v-11",0.05804
"v-2","v-14",0.05846
"v-2","v-16",0.0593
"v-2","v-18",0.05876
"v-2","v-20",0.05796
"v-2","v-21",0.05978
"v-2","v-25",0.05968
"v-2","v-26",0.0591
"v-2","v-28",0.06038
"v-2","v-31",0.05844
"v-2","v-34",0.0586
"v-3","v-4",0.05846
"v-3","v-5",0.0584
"v-3","v-6",0.0594
"v-3","v-9",0.05796
"v-3","v-10",0.0582
"v-3","v-13",0.0584
"v-3","v-14",0.05912
"v-3","v-17",0.05936
"v-3","v-19",0.05872
"v-3","v-20",0.05968
"v-3","v-21",0.05814
"v-3","v-22",0.05942
"v-3","v-24",0.06146
"v-3","v-31",0.05812
"v-3","v-32",0.05842
"v-3","v-35",0.0582
"v-4","v-5",0.05852
"v-4","v-10",0.05902
"v-4","v-11",0.05936
"v-4","v-15",0.0581
"v-4","v-16",0.05872
"v-4","v-19",0.05896
"v-4","v-22",0.05956
"v-4","v-23",0.05826
"v-4","v-24",0.05894
"v-4","v-25",0.0594
"v-4","v-26",0.059
"v-4","v-28",0.05896
"v-4","v-29",0.05856
"v-4","v-30",0.05882
"v-4","v-31",0.05838
"v-4","v-32",0.05946
"v-4","v-35",0.06032
"v-5","v-8",0.05852
"v-5","v-9",0.05928
"v-5","v-13",0.05812
"v-5","v-14",0.05832
"v-5","v-16",0.0595
"v-5","v-19",0.05798
"v-5","v-21",0.05922
"v-5","v-22",0.06046
"v-5","v-23",0.05836
"v-5","v-24",0.05886
"v-5","v-28",0.06012
"v-5","v-32",0.0593
"v-5","v-33",0.0585
"v-5","v-34",0.05936
"v-5","v-35",0.0581
"v-6","v-7",0.05864
"v-6","v-9",0.059
"v-6","v-11",0.05816
"v-6","v-15",0.05826
"v-6","v-17",0.05814
"v-6","v-19",0.0592
"v-6","v-20",0.05876
"v-6","v-21",0.05892
"v-6","v-22",0.05864
"v-6","v-24",0.05886
"v-6","v-25",0.05904
"v-6","v-29",0.05928
"v-6","v-34",0.05852
"v-7","v-8",0.05934
"v-7","v-11",0.05938
"v-7","v-19",0.05842
"v-7","v-21",0.05906
"v-7","v-22",0.058
"v-7","v-23",0.05998
"v-7","v-24",0.05912
"v-7","v-28",0.05834
"v-7","v-29",0.05808
"v-7","v-30",0.0602
"v-7","v-32",0.05894
"v-7","v-35",0.05976
"v-8","v-12",0.05882
"v-8","v-13",0.05796
"v-8","v-14",0.05804
"v-8","v-15",0.05838
"v-8","v-18",0.05864
"v-8","v-21",0.05856
"v-8","v-23",0.05806
"v-8","v-24",0.05944
"v-8","v-25",0.05946
"v-8","v-27",0.05844
"v-8","v-28",0.0588
"v-8","v-30",0.05884
"v-8","v-31",0.05992
"v-8","v-33",0.05834
"v-9","v-14",0.05838
"v-9","v-17",0.05858
"v-9","v-18",0.05856
"v-9","v-20",0.05938
"v-9","v-22",0.05908
"v-9","v-24",0.05882
"v-9","v-27",0.05816
"v-9","v-30",0.05828
"v-9","v-31",0.05852
"v-9","v-32",0.05942
"v-9","v-33",0.05892
"v-10","v-11",0.05916
"v-10","v-12",0.05932
"v-10","v-18",0.05914
"v-10","v-19",0.05802
"v-10","v-20",0.05964
"v-10","v-22",0.05866
"v-10","v-23",0.05942
"v-10","v-24",0.05874
"v-10","v-28",0.0582
"v-10","v-29",0.0582
"v-10","v-30",0.05898
"v-10","v-31",0.05814
"v-10","v-32",0.05878
"v-10","v-33",0.06042
"v-11","v-12",0.05802
"v-11","v-13",0.059
"v-11","v-15",0.06002
"v-11","v-16",0.05896
"v-11","v-17",0.0584
"v-11","v-19",0.05846
"v-11","v-20",0.05934
"v-11","v-21",0.05926
"v-11","v-22",0.05824
"v-11","v-23",0.05898
"v-11","v-27",0.05884
"v-11","v-32",0.0584
"v-11","v-33",0.05878
"v-12","v-13",0.05834
"v-12","v-15",0.0584
"v-12","v-17",0.06064
"v-12","v-18",0.05914
"v-12","v-19",0.06038
"v-12","v-20",0.05924
"v-12","v-22",0.05816
"v-12","v-24",0.05908
"v-12","v-25",0.05988
"v-12","v-27",0.05896
"v-12","v-28",0.05824
"v-12","v-32",0.05872
"v-12","v-33",0.05796
"v-12","v-34",0.05854
"v-13","v-15",0.05856
"v-13","v-16",0.05828
"v-13","v-17",0.05884
"v-13","v-18",0.05902
"v-13","v-24",0.05798
"v-13","v-26",0.05866
"v-13","v-29",0.05874
"v-13","v-30",0.05912
"v-13","v-33",0.05908
"v-13","v-35",0.05846
"v-14","v-17",0.05826
"v-14","v-22",0.0591
"v-14","v-25",0.05796
"v-14","v-27",0.05924
"v-14","v-31",0.05852
"v-14","v-35",0.05968
"v-15","v-18",0.05954
"v-15","v-21",0.05814
"v-15","v-22",0.05846
"v-15","v-25",0.0583
"v-15","v-26",0.05974
"v-15","v-28",0.05842
"v-15","v-29",0.06002
"v-15","v-31",0.05836
"v-15","v-32",0.05936
"v-15","v-34",0.0589
"v-15","v-35",0.0581
"v-16","v-17",0.0582
"v-16","v-21",0.05816
"v-16","v-23",0.0606
"v-16","v-24",0.05964
