"Source","Target","Weight"
"v-1","v-2",0.05916
"v-1","v-3",0.05908
"v-1","v-5",0.05892
"v-1","v-6",0.05802
"v-1","v-7",0.0585
"v-1","v-9",0.05892
"v-1","v-10",0.05804
"v-1","v-12",0.05912
"v-1","v-13",0.05922
"v-1","v-14",0.05868
"v-1","v-17",0.05862
"v-1","v-18",0.058
"v-1","v-22",0.05866
"v-1","v-23",0.05882
"v-1","v-26",0.05822
"v-1","v-28",0.0584
"v-1","v-30",0.05856
"v-1","v-31",0.05802
"v-1","v-32",0.05824
"v-1","v-35",0.05838
"v-2","v-3",0.05924
"v-2","v-4",0.05808
"v-2","v-6",0.05844
"v-2","v-7",0.05808
"v-2","v-9",0.05978
"v-2","v-11",0.05826
"v-2","v-13",0.05904
"v-2","v-14",0.05808
"v-2","v-15",0.0583
"v-2","v-16",0.05896
"v-2","v-17",0.05814
"v-2","v-19",0.05864
"v-2","v-20",0.05912
"v-2","v-21",0.05852
"v-2","v-22",0.0586
"v-2","v-23",0.05826
"v-2","v-24",0.05828
"v-2","v-26",0.05882
"v-2","v-30",0.05914
"v-2","v-32",0.05958
"v-2","v-33",0.0593
"v-2","v-35",0.05874
"v-3","v-5",0.05964
"v-3","v-6",0.05862
"v-3","v-7",0.05856
"v-3","v-8",0.0583
"v-3","v-15",0.05868
"v-3","v-16",0.05814
"v-3","v-20",0.05986
"v-3","v-21",0.05846
"v-3","v-27",0.05852
"v-3","v-28",0.05822
"v-3","v-29",0.05834
"v-3","v-31",0.06022
"v-3","v-32",0.05858
"v-3","v-34",0.05812
"v-3","v-35",0.05842
"v-4","v-7",0.05846
"v-4","v-8",0.05978
"v-4","v-10",0.0595
"v-4","v-13",0.0592
"v-4","v-17",0.05842
"v-4","v-18",0.05858
"v-4","v-23",0.05926
"v-4","v-24",0.059
"v-4","v-32",0.05956
"v-4","v-33",0.0587
"v-5","v-6",0.0583
"v-5","v-9",0.0589
"v-5","v-11",0.05812
"v-5","v-12",0.05796
"v-5","v-15",0.05838
"v-5","v-16",0.05872
"v-5","v-18",0.0582
"v-5","v-19",0.0588
"v-5","v-20",0.05798
"v-5","v-21",0.05804
"v-5","v-22",0.05962
"v-5","v-23",0.05854
"v-5","v-25",0.05898
"v-5","v-27",0.0586
"v-5","v-28",0.05816
"v-5","v-30",0.05892
"v-5","v-32",0.0589
"v-6","v-7",0.0589
"v-6","v-8",0.05836
"v-6","v-10",0.05846
"v-6","v-14",0.05904
"v-6","v-15",0.0588
"v-6","v-19",0.05802
"v-6","v-21",0.05834
"v-6","v-24",0.05878
"v-6","v-25",0.0582
"v-6","v-26",0.06024
"v-6","v-27",0.05838
"v-6","v-30",0.0591
"v-6","v-32",0.0588
"v-6","v-33",0.05868
"v-6","v-35",0.05824
"v-7","v-8",0.05892
"v-7","v-10",0.05806
"v-7","v-11",0.05904
"v-7","v-12",0.05916
"v-7","v-13",0.05872
"v-7","v-14",0.05886
"v-7","v-16",0.0585
"v-7","v-17",0.05844
"v-7","v-18",0.0583
"v-7","v-19",0.05882
"v-7","v-22",0.05814
"v-7","v-27",0.05898
"v-7","v-28",0.05892
"v-7","v-31",0.05888
"v-7","v-32",0.05896
"v-8","v-9",0.05798
"v-8","v-11",0.05872
"v-8","v-12",0.0585
"v-8","v-14",0.05828
"v-8","v-15",0.05888
"v-8","v-18",0.05832
"v-8","v-19",0.05802
"v-8","v-21",0.05832
"v-8","v-24",0.05832
"v-8","v-25",0.05944
"v-8","v-30",0.05822
"v-8","v-31",0.05806
"v-8","v-32",0.05844
"v-8","v-34",0.0595
"v-9","v-10",0.05796
"v-9","v-12",0.06
"v-9","v-13",0.05842
"v-9","v-14",0.05824
"v-9","v-15",0.0585
"v-9","v-16",0.05822
"v-9","v-17",0.05968
"v-9","v-19",0.0594
"v-9","v-24",0.05836
"v-9","v-28",0.05808
"v-9","v-29",0.05882
"v-9","v-30",0.05798
"v-9","v-34",0.05798
"v-10","v-13",0.05868
"v-10","v-15",0.0585
"v-10","v-16",0.05938
"v-10","v-18",0.0595
"v-10","v-20",0.05828
"v-10","v-22",0.0591
"v-10","v-23",0.05862
"v-10","v-26",0.05916
"v-10","v-28",0.05834
"v-10","v-29",0.05968
"v-10","v-32",0.05854
"v-10","v-34",0.05848
"v-11","v-13",0.05868
"v-11","v-14",0.05796
"v-11","v-15",0.05846
"v-11","v-17",0.0589
"v-11","v-18",0.05868
"v-11","v-19",0.05966
"v-11","v-20",0.05834
"v-11","v-23",0.05948
"v-11","v-28",0.05918
"v-11","v-35",0.0599
