"Source","Target","Weight"
"v-1","v-2",0.1059
"v-1","v-3",0.1031
"v-1","v-4",0.1015
"v-1","v-5",0.107
"v-1","v-6",0.1068
"v-1","v-7",0.1003
"v-1","v-8",0.1037
"v-1","v-10",0.1026
"v-1","v-12",0.1004
"v-1","v-13",0.1077
"v-1","v-14",0.1038
"v-1","v-15",0.105
"v-1","v-17",0.1044
"v-1","v-18",0.1041
"v-1","v-19",0.1007
"v-1","v-20",0.1055
"v-2","v-1",0.1059
"v-2","v-4",0.1041
"v-2","v-6",0.1014
"v-2","v-7",0.1033
"v-2","v-8",0.1061
"v-2","v-10",0.106
"v-2","v-11",0.1042
"v-2","v-13",0.1041
"v-2","v-14",0.1044
"v-2","v-15",0.1101
"v-2","v-16",0.1001
"v-2","v-18",0.1075
"v-2","v-19",0.1035
"v-2","v-20",0.1033
"v-3","v-1",0.1031
"v-3","v-4",0.1069
"v-3","v-5",0.101
"v-3","v-6",0.1011
"v-3","v-8",0.1005
"v-3","v-9",0.101
"v-3","v-10",0.1015
"v-3","v-11",0.1028
"v-3","v-12",0.1041
"v-3","v-13",0.1031
"v-3","v-14",0.1011
"v-3","v-16",0.1043
"v-3","v-17",0.1027
"v-3","v-18",0.1074
"v-3","v-20",0.1035
"v-4","v-1",0.1015
"v-4","v-2",0.1041
"v-4","v-3",0.1069
"v-4","v-5",0.1024
"v-4","v-7",0.102
"v-4","v-8",0.1003
"v-4","v-10",0.1082
"v-4","v-12",0.1016
"v-4","v-14",0.1012
"v-4","v-15",0.1057
"v-4","v-17",0.1009
"v-4","v-18",0.1043
"v-4","v-19",0.1034
"v-4","v-20",0.1007
"v-5","v-1",0.107
"v-5","v-3",0.101
"v-5","v-4",0.1024
"v-5","v-8",0.1001
"v-5","v-10",0.1047
"v-5","v-11",0.1005
"v-5","v-13",0.1033
"v-5","v-14",0.1033
"v-5","v-17",0.1063
"v-5","v-18",0.1034
"v-5","v-20",0.1041
"v-6","v-1",0.1068
"v-6","v-2",0.1014
"v-6","v-3",0.1011
"v-6","v-7",0.1092
"v-6","v-9",0.101
"v-6","v-10",0.1088
"v-6","v-11",0.1052
"v-6","v-12",0.1025
"v-6","v-13",0.1005
"v-6","v-14",0.1049
"v-6","v-15",0.1065
"v-6","v-16",0.102
"v-6","v-17",0.1032
"v-6","v-18",0.103
"v-6","v-20",0.1005
"v-7","v-1",0.1003
"v-7","v-2",0.1033
"v-7","v-4",0.102
"v-7","v-6",0.1092
"v-7","v-8",0.1005
"v-7","v-9",0.101
"v-7","v-10",0.1064
"v-7","v-11",0.101
"v-7","v-12",0.108
"v-7","v-13",0.1033
"v-7","v-14",0.1003
"v-7","v-15",0.1046
"v-7","v-16",0.1002
"v-7","v-17",0.1016
"v-7","v-19",0.1067
"v-7","v-20",0.1049
"v-8","v-1",0.1037
"v-8","v-2",0.1061
"v-8","v-3",0.1005
"v-8","v-4",0.1003
"v-8","v-5",0.1001
"v-8","v-7",0.1005
"v-8","v-10",0.1067
"v-8","v-11",0.1002
"v-8","v-13",0.1053
"v-8","v-14",0.1
"v-8","v-15",0.1002
"v-8","v-17",0.1053
"v-8","v-18",0.1023
"v-8","v-19",0.1063
"v-8","v-20",0.103
"v-9","v-3",0.101
"v-9","v-6",0.101
"v-9","v-7",0.101
"v-9","v-10",0.101
"v-9","v-11",0.1
"v-9","v-12",0.1009
"v-9","v-13",0.1034
"v-9","v-14",0.1011
"v-9","v-15",0.1007
"v-9","v-17",0.1031
"v-9","v-18",0.1016
"v-9","v-19",0.1007
"v-9","v-20",0.1011
"v-10","v-1",0.1026
"v-10","v-2",0.106
"v-10","v-3",0.1015
"v-10","v-4",0.1082
"v-10","v-5",0.1047
"v-10","v-6",0.1088
"v-10","v-7",0.1064
"v-10","v-8",0.1067
"v-10","v-9",0.101
"v-10","v-11",0.1006
"v-10","v-12",0.1034
"v-10","v-13",0.1038
"v-10","v-14",0.1037
"v-10","v-15",0.1046
"v-10","v-18",0.1019
"v-10","v-19",0.1021
"v-11","v-2",0.1042
"v-11","v-3",0.1028
"v-11","v-5",0.1005
"v-11","v-6",0.1052
"v-11","v-7",0.101
"v-11","v-8",0.1002
"v-11","v-9",0.1
"v-11","v-10",0.1006
