"Source","Target","Weight"
"v-1","v-2",0.0416
"v-1","v-4",0.0442
"v-1","v-6",0.044
"v-1","v-7",0.0417
"v-1","v-9",0.0424
"v-1","v-10",0.0411
"v-1","v-12",0.041
"v-1","v-13",0.0419
"v-1","v-16",0.0405
"v-1","v-18",0.0407
"v-1","v-20",0.0421
"v-1","v-21",0.0432
"v-1","v-22",0.0403
"v-1","v-24",0.0414
"v-1","v-26",0.0404
"v-1","v-28",0.0411
"v-1","v-30",0.0412
"v-1","v-31",0.0434
"v-1","v-36",0.0425
"v-1","v-38",0.0423
"v-1","v-43",0.0423
"v-1","v-44",0.0456
"v-1","v-45",0.0415
"v-1","v-47",0.0424
"v-1","v-48",0.0427
"v-1","v-50",0.0411
"v-2","v-1",0.0416
"v-2","v-4",0.042
"v-2","v-5",0.0405
"v-2","v-6",0.0462
"v-2","v-7",0.0423
"v-2","v-9",0.0438
"v-2","v-11",0.0413
"v-2","v-12",0.0425
"v-2","v-13",0.0404
"v-2","v-14",0.0423
"v-2","v-16",0.0438
"v-2","v-17",0.041
"v-2","v-20",0.0412
"v-2","v-23",0.0423
"v-2","v-25",0.0433
"v-2","v-27",0.0448
"v-2","v-28",0.0403
"v-2","v-29",0.0408
"v-2","v-30",0.044
"v-2","v-33",0.0404
"v-2","v-34",0.0409
"v-2","v-37",0.0419
"v-2","v-39",0.0444
"v-2","v-42",0.0408
"v-2","v-43",0.0403
"v-2","v-44",0.0411
"v-2","v-46",0.0415
"v-2","v-50",0.0433
"v-3","v-5",0.042
"v-3","v-7",0.0432
"v-3","v-11",0.0405
"v-3","v-12",0.043
"v-3","v-13",0.0424
"v-3","v-16",0.0414
"v-3","v-17",0.0442
"v-3","v-19",0.0408
"v-3","v-23",0.0406
"v-3","v-27",0.0414
"v-3","v-28",0.0421
"v-3","v-29",0.0426
"v-3","v-30",0.0428
"v-3","v-31",0.0425
"v-3","v-34",0.0452
"v-3","v-39",0.0413
"v-3","v-40",0.0403
"v-3","v-43",0.0425
"v-3","v-44",0.0444
"v-3","v-46",0.0417
"v-3","v-47",0.042
"v-3","v-48",0.0433
"v-4","v-1",0.0442
"v-4","v-2",0.042
"v-4","v-5",0.0409
"v-4","v-7",0.0403
"v-4","v-8",0.0407
"v-4","v-11",0.0415
"v-4","v-13",0.0431
"v-4","v-14",0.0422
"v-4","v-15",0.041
"v-4","v-20",0.0411
"v-4","v-21",0.0417
"v-4","v-22",0.0407
"v-4","v-24",0.0406
"v-4","v-25",0.0405
"v-4","v-27",0.0414
"v-4","v-30",0.0446
"v-4","v-31",0.0424
"v-4","v-32",0.0415
"v-4","v-34",0.0409
"v-4","v-36",0.0414
"v-4","v-37",0.0417
"v-4","v-38",0.0412
"v-4","v-39",0.0445
"v-4","v-40",0.043
"v-4","v-42",0.0405
"v-4","v-43",0.0411
"v-4","v-44",0.0414
"v-4","v-46",0.042
"v-4","v-47",0.0413
"v-4","v-50",0.0437
"v-5","v-2",0.0405
"v-5","v-3",0.042
"v-5","v-4",0.0409
"v-5","v-7",0.0419
"v-5","v-8",0.0441
"v-5","v-12",0.0408
"v-5","v-13",0.0423
"v-5","v-16",0.0412
"v-5","v-17",0.0427
"v-5","v-19",0.041
"v-5","v-21",0.0421
"v-5","v-25",0.041
"v-5","v-26",0.0418
"v-5","v-27",0.0432
"v-5","v-30",0.0413
"v-5","v-32",0.0423
"v-5","v-36",0.0417
"v-5","v-37",0.044
"v-5","v-41",0.0412
"v-5","v-43",0.0426
"v-5","v-44",0.0428
"v-5","v-46",0.0415
"v-5","v-47",0.0427
"v-5","v-48",0.0418
"v-5","v-50",0.0423
"v-6","v-1",0.044
"v-6","v-2",0.0462
"v-6","v-7",0.0417
"v-6","v-9",0.041
"v-6","v-11",0.0416
"v-6","v-13",0.0406
"v-6","v-14",0.0433
"v-6","v-15",0.0445
"v-6","v-16",0.0434
"v-6","v-17",0.0441
"v-6","v-19",0.0422
"v-6","v-23",0.0421
"v-6","v-24",0.0404
"v-6","v-32",0.0412
"v-6","v-33",0.0405
"v-6","v-36",0.0433
"v-6","v-37",0.0417
"v-6","v-38",0.0429
"v-6","v-39",0.0414
"v-6","v-40",0.0404
"v-6","v-41",0.0421
"v-6","v-42",0.0412
"v-6","v-45",0.0421
"v-6","v-46",0.0418
"v-6","v-47",0.0422
"v-6","v-49",0.0427
"v-6","v-50",0.0419
"v-7","v-1",0.0417
"v-7","v-2",0.0423
"v-7","v-3",0.0432
"v-7","v-4",0.0403
"v-7","v-5",0.0419
"v-7","v-6",0.0417
"v-7","v-8",0.0415
"v-7","v-9",0.0405
"v-7","v-10",0.0418
"v-7","v-11",0.0405
"v-7","v-12",0.0428
"v-7","v-15",0.0413
"v-7","v-19",0.0436
"v-7","v-20",0.043
"v-7","v-21",0.0408
"v-7","v-25",0.041
"v-7","v-26",0.041
"v-7","v-29",0.0442
"v-7","v-32",0.0409
"v-7","v-33",0.0423
"v-7","v-34",0.0415
"v-7","v-35",0.0427
"v-7","v-39",0.0415
"v-7","v-40",0.0411
"v-7","v-42",0.0438
"v-7","v-46",0.0421
"v-7","v-47",0.0417
"v-7","v-48",0.0409
"v-7","v-49",0.0405
"v-8","v-4",0.0407
"v-8","v-5",0.0441
"v-8","v-7",0.0415
"v-8","v-9",0.043
"v-8","v-10",0.0409
"v-8","v-12",0.0417
"v-8","v-13",0.0433
"v-8","v-15",0.0411
"v-8","v-16",0.0422
"v-8","v-20",0.0406
"v-8","v-21",0.0418
"v-8","v-22",0.0425
"v-8","v-24",0.0433
"v-8","v-25",0.0404
"v-8","v-26",0.0428
"v-8","v-27",0.0438
"v-8","v-30",0.041
"v-8","v-31",0.0414
"v-8","v-32",0.0427
"v-8","v-33",0.0407
"v-8","v-34",0.0433
"v-8","v-37",0.0451
"v-8","v-39",0.0416
"v-8","v-41",0.0407
"v-8","v-42",0.0435
"v-8","v-46",0.0414
"v-8","v-47",0.0405
"v-8","v-49",0.0406
"v-8","v-50",0.0447
"v-9","v-1",0.0424
"v-9","v-2",0.0438
"v-9","v-6",0.041
"v-9","v-7",0.0405
"v-9","v-8",0.043
"v-9","v-11",0.042
"v-9","v-13",0.0404
"v-9","v-15",0.041
"v-9","v-17",0.0406
"v-9","v-18",0.0409
"v-9","v-19",0.041
"v-9","v-21",0.0409
"v-9","v-23",0.0413
"v-9","v-25",0.042
"v-9","v-27",0.0413
"v-9","v-28",0.0436
"v-9","v-29",0.041
"v-9","v-30",0.0418
"v-9","v-32",0.0415
"v-9","v-39",0.0411
"v-9","v-41",0.0406
"v-9","v-43",0.0412
"v-9","v-44",0.0417
"v-9","v-46",0.0422
"v-9","v-47",0.0406
"v-9","v-48",0.0406
"v-9","v-49",0.0407
"v-9","v-50",0.0411
"v-10","v-1",0.0411
"v-10","v-7",0.0418
"v-10","v-8",0.0409
"v-10","v-11",0.0411
"v-10","v-14",0.0436
"v-10","v-16",0.0479
"v-10","v-19",0.0413
"v-10","v-20",0.0403
"v-10","v-23",0.0413
"v-10","v-24",0.0415
"v-10","v-25",0.0407
"v-10","v-26",0.0405
"v-10","v-27",0.0406
"v-10","v-28",0.0415
"v-10","v-30",0.0405
"v-10","v-35",0.0409
"v-10","v-36",0.0423
"v-10","v-37",0.0428
"v-10","v-38",0.0413
"v-10","v-39",0.0418
"v-10","v-40",0.0455
"v-10","v-41",0.0438
"v-10","v-43",0.0409
"v-10","v-44",0.0403
"v-10","v-45",0.0405
"v-10","v-47",0.0411
"v-11","v-2",0.0413
"v-11","v-3",0.0405
"v-11","v-4",0.0415
"v-11","v-6",0.0416
"v-11","v-7",0.0405
"v-11","v-9",0.042
"v-11","v-10",0.0411
"v-11","v-14",0.0414
"v-11","v-17",0.0416
"v-11","v-18",0.0412
"v-11","v-20",0.0423
"v-11","v-21",0.043
"v-11","v-25",0.0418
"v-11","v-26",0.0407
"v-11","v-27",0.0403
"v-11","v-29",0.0413
"v-11","v-30",0.0426
"v-11","v-32",0.0409
"v-11","v-35",0.0407
"v-11","v-37",0.0437
"v-11","v-39",0.0419
"v-11","v-40",0.0403
"v-11","v-41",0.0437
"v-11","v-42",0.0408
"v-11","v-43",0.042
"v-11","v-46",0.0417
"v-11","v-48",0.0407
"v-12","v-1",0.041
"v-12","v-2",0.0425
"v-12","v-3",0.043
"v-12","v-5",0.0408
"v-12","v-7",0.0428
"v-12","v-8",0.0417
"v-12","v-15",0.041
"v-12","v-16",0.0422
"v-12","v-17",0.0424
"v-12","v-20",0.0423
"v-12","v-21",0.0422
"v-12","v-23",0.0409
"v-12","v-25",0.0407
"v-12","v-27",0.0403
"v-12","v-29",0.0411
"v-12","v-33",0.0404
"v-12","v-34",0.043
"v-12","v-35",0.0419
"v-12","v-40",0.0406
"v-12","v-42",0.0419
"v-12","v-43",0.0425
"v-12","v-44",0.0433
"v-12","v-45",0.0442
"v-12","v-47",0.041
"v-12","v-49",0.0447
"v-13","v-1",0.0419
