"Source","Target","Weight"
"v-1","v-2",0.0465
"v-1","v-4",0.0424
"v-1","v-6",0.0445
"v-1","v-7",0.0439
"v-1","v-11",0.0416
"v-1","v-15",0.0417
"v-1","v-17",0.0438
"v-1","v-18",0.0426
"v-1","v-19",0.0408
"v-1","v-27",0.043
"v-1","v-28",0.0425
"v-1","v-29",0.041
"v-1","v-32",0.0417
"v-1","v-33",0.0407
"v-1","v-36",0.0423
"v-1","v-37",0.0431
"v-1","v-38",0.0413
"v-1","v-39",0.0437
"v-1","v-40",0.0424
"v-1","v-41",0.0417
"v-1","v-42",0.0413
"v-1","v-45",0.0436
"v-1","v-47",0.0443
"v-1","v-48",0.0428
"v-1","v-50",0.0427
"v-2","v-1",0.0465
"v-2","v-3",0.0413
"v-2","v-4",0.0427
"v-2","v-5",0.0412
"v-2","v-6",0.0421
"v-2","v-7",0.0439
"v-2","v-9",0.0412
"v-2","v-10",0.0433
"v-2","v-15",0.0428
"v-2","v-16",0.0413
"v-2","v-17",0.0425
"v-2","v-21",0.0425
"v-2","v-22",0.0426
"v-2","v-29",0.0405
"v-2","v-31",0.0408
"v-2","v-32",0.0417
"v-2","v-34",0.0438
"v-2","v-35",0.0411
"v-2","v-38",0.0417
"v-2","v-39",0.0425
"v-2","v-40",0.0456
"v-2","v-41",0.0416
"v-2","v-42",0.0404
"v-2","v-43",0.0413
"v-2","v-44",0.0411
"v-2","v-45",0.0424
"v-2","v-47",0.0454
"v-2","v-50",0.0408
"v-3","v-2",0.0413
"v-3","v-7",0.0418
"v-3","v-9",0.0426
"v-3","v-12",0.0413
"v-3","v-13",0.0461
"v-3","v-14",0.0461
"v-3","v-16",0.0409
"v-3","v-18",0.0412
"v-3","v-19",0.0422
"v-3","v-20",0.0417
"v-3","v-22",0.0409
"v-3","v-23",0.0441
"v-3","v-25",0.0414
"v-3","v-26",0.0412
"v-3","v-30",0.0415
"v-3","v-31",0.0435
"v-3","v-32",0.0435
"v-3","v-33",0.0421
"v-3","v-34",0.0413
"v-3","v-35",0.0413
"v-3","v-36",0.0413
"v-3","v-37",0.0408
"v-3","v-44",0.0426
"v-3","v-49",0.0443
"v-4","v-1",0.0424
"v-4","v-2",0.0427
"v-4","v-6",0.0446
"v-4","v-7",0.0415
"v-4","v-8",0.0416
"v-4","v-9",0.041
"v-4","v-15",0.0434
"v-4","v-16",0.0425
"v-4","v-22",0.0405
"v-4","v-25",0.0428
"v-4","v-26",0.0417
"v-4","v-27",0.0421
"v-4","v-28",0.0439
"v-4","v-29",0.0438
"v-4","v-32",0.0424
"v-4","v-33",0.0428
"v-4","v-36",0.0407
"v-4","v-38",0.041
"v-4","v-39",0.0446
"v-4","v-40",0.0418
"v-4","v-43",0.0418
"v-4","v-45",0.0424
"v-4","v-47",0.0432
"v-4","v-48",0.0408
"v-4","v-50",0.0431
"v-5","v-2",0.0412
"v-5","v-9",0.0416
"v-5","v-13",0.0408
"v-5","v-14",0.0432
"v-5","v-15",0.042
"v-5","v-16",0.0406
"v-5","v-20",0.041
"v-5","v-21",0.0415
"v-5","v-22",0.0413
"v-5","v-24",0.0447
"v-5","v-28",0.0422
"v-5","v-29",0.0414
"v-5","v-31",0.0422
"v-5","v-32",0.043
"v-5","v-35",0.0421
"v-5","v-44",0.0415
"v-5","v-47",0.0424
"v-5","v-48",0.041
"v-5","v-49",0.0441
"v-5","v-50",0.0411
"v-6","v-1",0.0445
"v-6","v-2",0.0421
"v-6","v-4",0.0446
"v-6","v-9",0.0406
"v-6","v-10",0.0431
"v-6","v-13",0.0413
"v-6","v-15",0.0428
"v-6","v-24",0.042
"v-6","v-25",0.0406
"v-6","v-27",0.0424
"v-6","v-28",0.0417
"v-6","v-31",0.0422
"v-6","v-32",0.0413
"v-6","v-33",0.0459
"v-6","v-34",0.0405
"v-6","v-38",0.0435
"v-6","v-40",0.0414
"v-6","v-43",0.0422
"v-6","v-45",0.041
"v-6","v-46",0.0423
"v-6","v-47",0.0417
"v-6","v-49",0.0415
"v-6","v-50",0.045
"v-7","v-1",0.0439
"v-7","v-2",0.0439
"v-7","v-3",0.0418
"v-7","v-4",0.0415
"v-7","v-9",0.0405
"v-7","v-15",0.0462
"v-7","v-17",0.0421
"v-7","v-18",0.0406
"v-7","v-21",0.041
"v-7","v-24",0.0412
"v-7","v-25",0.0425
"v-7","v-27",0.0463
"v-7","v-28",0.0408
"v-7","v-29",0.0418
"v-7","v-38",0.0418
"v-7","v-39",0.0432
"v-7","v-40",0.0411
"v-7","v-42",0.0405
"v-7","v-43",0.0445
"v-7","v-45",0.0478
"v-7","v-47",0.0449
"v-7","v-48",0.0409
"v-7","v-50",0.0423
"v-8","v-4",0.0416
"v-8","v-9",0.0418
"v-8","v-10",0.0431
"v-8","v-13",0.042
"v-8","v-17",0.0415
"v-8","v-19",0.0435
"v-8","v-21",0.0443
"v-8","v-22",0.0419
"v-8","v-23",0.0415
"v-8","v-24",0.0409
"v-8","v-28",0.0408
"v-8","v-30",0.0427
"v-8","v-31",0.0428
"v-8","v-32",0.0424
"v-8","v-34",0.0415
"v-8","v-35",0.0414
"v-8","v-37",0.0409
"v-8","v-38",0.0431
"v-8","v-39",0.0411
"v-8","v-43",0.0411
"v-8","v-45",0.0424
"v-8","v-48",0.0442
"v-9","v-2",0.0412
"v-9","v-3",0.0426
"v-9","v-4",0.041
"v-9","v-5",0.0416
"v-9","v-6",0.0406
"v-9","v-7",0.0405
"v-9","v-8",0.0418
"v-9","v-11",0.0408
"v-9","v-12",0.0431
"v-9","v-13",0.0404
"v-9","v-19",0.0445
"v-9","v-20",0.0435
"v-9","v-22",0.0412
"v-9","v-23",0.0407
"v-9","v-24",0.0419
"v-9","v-26",0.042
"v-9","v-32",0.041
"v-9","v-34",0.0442
"v-9","v-37",0.0447
"v-9","v-42",0.0422
"v-9","v-43",0.0412
"v-9","v-44",0.0411
"v-9","v-45",0.0412
"v-9","v-46",0.0467
"v-9","v-49",0.0405
"v-10","v-2",0.0433
"v-10","v-6",0.0431
"v-10","v-8",0.0431
"v-10","v-14",0.0431
"v-10","v-15",0.0417
"v-10","v-17",0.0426
"v-10","v-19",0.0405
"v-10","v-22",0.0417
"v-10","v-23",0.0427
"v-10","v-25",0.0411
"v-10","v-27",0.0415
"v-10","v-28",0.0412
"v-10","v-29",0.041
"v-10","v-30",0.0411
"v-10","v-32",0.0404
"v-10","v-38",0.0408
"v-10","v-40",0.0418
"v-10","v-41",0.0463
"v-10","v-47",0.0427
"v-10","v-49",0.0425
"v-10","v-50",0.0406
"v-11","v-1",0.0416
"v-11","v-9",0.0408
"v-11","v-12",0.0441
"v-11","v-13",0.0442
"v-11","v-14",0.0408
"v-11","v-16",0.0416
"v-11","v-17",0.0414
"v-11","v-18",0.0409
"v-11","v-19",0.046
"v-11","v-20",0.0432
"v-11","v-22",0.0418
"v-11","v-23",0.043
"v-11","v-24",0.0412
"v-11","v-26",0.0418
"v-11","v-27",0.0407
"v-11","v-28",0.0411
"v-11","v-30",0.0418
"v-11","v-31",0.0413
"v-11","v-36",0.0437
"v-11","v-37",0.0434
"v-11","v-41",0.0432
"v-11","v-42",0.043
"v-11","v-43",0.0411
"v-11","v-44",0.0466
"v-11","v-46",0.0441
"v-11","v-48",0.0411
"v-12","v-3",0.0413
"v-12","v-9",0.0431
"v-12","v-11",0.0441
"v-12","v-13",0.0483
"v-12","v-14",0.0428
"v-12","v-15",0.0405
"v-12","v-16",0.0421
"v-12","v-18",0.0439
"v-12","v-19",0.0418
"v-12","v-20",0.0424
"v-12","v-21",0.0412
"v-12","v-22",0.0415
"v-12","v-23",0.0404
"v-12","v-24",0.0435
"v-12","v-25",0.0414
"v-12","v-26",0.041
"v-12","v-28",0.0421
"v-12","v-29",0.0413
"v-12","v-30",0.0443
"v-12","v-31",0.0426
"v-12","v-32",0.0404
"v-12","v-35",0.0421
"v-12","v-37",0.0464
"v-12","v-41",0.0405
