"Source","Target","Weight"
"v-1","v-5",0.0207
"v-1","v-8",0.0215
"v-1","v-9",0.0219
"v-1","v-10",0.0219
"v-1","v-12",0.0202
"v-1","v-15",0.0217
"v-1","v-17",0.021
"v-1","v-20",0.0208
"v-1","v-21",0.0216
"v-1","v-24",0.0204
"v-1","v-26",0.0206
"v-1","v-28",0.0204
"v-1","v-30",0.0201
"v-1","v-32",0.0234
"v-1","v-33",0.0218
"v-1","v-34",0.0212
"v-1","v-35",0.0202
"v-1","v-37",0.0217
"v-1","v-38",0.021
"v-1","v-40",0.0209
"v-1","v-42",0.0226
"v-1","v-46",0.0211
"v-1","v-49",0.0202
"v-1","v-50",0.0224
"v-1","v-57",0.0202
"v-1","v-60",0.0215
"v-1","v-62",0.0204
"v-1","v-63",0.0213
"v-1","v-68",0.0237
"v-1","v-70",0.0212
"v-1","v-71",0.0211
"v-1","v-73",0.0209
"v-1","v-76",0.0202
"v-1","v-77",0.0214
"v-1","v-78",0.021
"v-1","v-79",0.0212
"v-1","v-81",0.0206
"v-1","v-82",0.0209
"v-1","v-86",0.0209
"v-1","v-97",0.0214
"v-1","v-100",0.0203
"v-2","v-3",0.0222
"v-2","v-4",0.0201
"v-2","v-5",0.0213
"v-2","v-8",0.0227
"v-2","v-9",0.0233
"v-2","v-10",0.0207
"v-2","v-13",0.0216
"v-2","v-14",0.0204
"v-2","v-15",0.0212
"v-2","v-16",0.0216
"v-2","v-19",0.0209
"v-2","v-24",0.0205
"v-2","v-26",0.0224
"v-2","v-28",0.0201
"v-2","v-29",0.0204
"v-2","v-32",0.0214
"v-2","v-35",0.0219
"v-2","v-36",0.0205
"v-2","v-38",0.0202
"v-2","v-41",0.023
"v-2","v-42",0.0221
"v-2","v-43",0.021
"v-2","v-46",0.0216
"v-2","v-50",0.0204
"v-2","v-53",0.0207
"v-2","v-54",0.0204
"v-2","v-56",0.0207
"v-2","v-59",0.0207
"v-2","v-61",0.0216
"v-2","v-63",0.0213
"v-2","v-66",0.0206
"v-2","v-67",0.0202
"v-2","v-68",0.0203
"v-2","v-70",0.0222
"v-2","v-71",0.0214
"v-2","v-72",0.0208
"v-2","v-73",0.0205
"v-2","v-74",0.024
"v-2","v-75",0.0214
"v-2","v-80",0.0212
"v-2","v-81",0.0215
"v-2","v-82",0.0211
"v-2","v-83",0.0204
"v-2","v-85",0.0207
"v-2","v-86",0.0223
"v-2","v-88",0.0231
"v-2","v-89",0.0221
"v-2","v-90",0.024
"v-2","v-91",0.0201
"v-2","v-92",0.021
"v-2","v-93",0.0227
"v-2","v-94",0.0218
"v-2","v-96",0.0212
"v-2","v-97",0.0204
"v-2","v-98",0.0214
"v-2","v-99",0.0208
"v-2","v-100",0.0212
"v-3","v-2",0.0222
"v-3","v-6",0.0212
"v-3","v-9",0.0228
"v-3","v-12",0.0209
"v-3","v-13",0.0202
"v-3","v-14",0.0215
"v-3","v-16",0.021
"v-3","v-17",0.0202
"v-3","v-18",0.0243
"v-3","v-21",0.022
"v-3","v-24",0.0202
"v-3","v-25",0.0227
"v-3","v-27",0.0206
"v-3","v-28",0.0218
"v-3","v-29",0.0215
"v-3","v-30",0.0206
"v-3","v-31",0.0201
"v-3","v-32",0.0209
"v-3","v-35",0.0228
"v-3","v-36",0.0203
"v-3","v-39",0.0204
"v-3","v-41",0.0225
"v-3","v-42",0.0209
"v-3","v-44",0.0215
"v-3","v-45",0.0205
"v-3","v-49",0.0213
"v-3","v-53",0.0217
"v-3","v-54",0.0225
"v-3","v-56",0.0204
"v-3","v-58",0.0203
"v-3","v-59",0.0213
"v-3","v-66",0.0205
"v-3","v-68",0.0204
"v-3","v-70",0.021
"v-3","v-72",0.0208
"v-3","v-74",0.021
"v-3","v-75",0.0226
"v-3","v-77",0.0216
"v-3","v-78",0.0214
"v-3","v-79",0.0216
"v-3","v-80",0.0226
"v-3","v-84",0.0202
"v-3","v-86",0.0206
"v-3","v-90",0.0202
"v-3","v-91",0.0202
"v-3","v-92",0.0216
"v-3","v-93",0.0225
"v-3","v-94",0.0204
"v-3","v-95",0.0242
"v-3","v-97",0.0208
"v-3","v-98",0.0224
"v-3","v-99",0.0204
"v-3","v-100",0.0207
"v-4","v-2",0.0201
"v-4","v-5",0.0204
"v-4","v-6",0.0213
"v-4","v-7",0.0221
"v-4","v-8",0.0207
"v-4","v-11",0.0204
"v-4","v-12",0.0207
"v-4","v-13",0.0205
"v-4","v-14",0.021
"v-4","v-15",0.0227
"v-4","v-16",0.0212
"v-4","v-18",0.0225
"v-4","v-22",0.0222
"v-4","v-24",0.0219
"v-4","v-25",0.0213
"v-4","v-26",0.0205
"v-4","v-27",0.0218
"v-4","v-30",0.021
"v-4","v-36",0.0207
"v-4","v-38",0.0202
"v-4","v-39",0.0218
"v-4","v-40",0.0212
"v-4","v-44",0.0204
"v-4","v-45",0.0224
"v-4","v-47",0.0201
"v-4","v-49",0.0232
"v-4","v-52",0.0211
"v-4","v-54",0.0207
"v-4","v-55",0.0202
"v-4","v-56",0.0218
"v-4","v-57",0.0225
"v-4","v-58",0.0205
"v-4","v-59",0.0202
"v-4","v-61",0.0216
"v-4","v-62",0.0205
"v-4","v-63",0.022
"v-4","v-65",0.0211
"v-4","v-67",0.0212
"v-4","v-69",0.0204
"v-4","v-70",0.0204
"v-4","v-71",0.0205
"v-4","v-73",0.0237
"v-4","v-78",0.0219
"v-4","v-79",0.0202
"v-4","v-81",0.0204
"v-4","v-82",0.0205
"v-4","v-84",0.0222
"v-4","v-85",0.0208
"v-4","v-86",0.0205
"v-4","v-91",0.0205
"v-4","v-92",0.0202
"v-4","v-97",0.0215
"v-4","v-98",0.0202
"v-5","v-1",0.0207
"v-5","v-2",0.0213
"v-5","v-4",0.0204
"v-5","v-6",0.0213
"v-5","v-7",0.0224
"v-5","v-8",0.022
"v-5","v-12",0.022
"v-5","v-13",0.0201
"v-5","v-15",0.0201
"v-5","v-17",0.0232
"v-5","v-23",0.0222
"v-5","v-25",0.0215
"v-5","v-26",0.0229
"v-5","v-27",0.0214
"v-5","v-32",0.0202
"v-5","v-33",0.0223
"v-5","v-34",0.0208
"v-5","v-35",0.021
"v-5","v-36",0.0211
"v-5","v-37",0.0225
"v-5","v-38",0.0216
"v-5","v-39",0.0212
"v-5","v-41",0.0208
"v-5","v-42",0.0212
"v-5","v-43",0.0233
"v-5","v-47",0.0208
"v-5","v-49",0.0217
"v-5","v-50",0.0201
"v-5","v-51",0.0218
"v-5","v-57",0.0229
"v-5","v-58",0.0205
"v-5","v-59",0.0213
"v-5","v-60",0.0212
"v-5","v-61",0.0203
"v-5","v-62",0.0222
"v-5","v-63",0.0201
"v-5","v-64",0.0211
"v-5","v-65",0.0222
"v-5","v-67",0.0221
"v-5","v-69",0.0201
"v-5","v-73",0.0219
"v-5","v-78",0.0205
"v-5","v-79",0.0202
"v-5","v-81",0.0204
"v-5","v-84",0.0206
"v-5","v-87",0.022
"v-5","v-88",0.0202
"v-5","v-89",0.0203
"v-5","v-90",0.0237
"v-5","v-91",0.0207
"v-5","v-92",0.0206
"v-5","v-93",0.0201
"v-5","v-94",0.0201
"v-5","v-95",0.0217
"v-5","v-96",0.0202
"v-5","v-98",0.0215
"v-5","v-99",0.0204
"v-5","v-100",0.0206
"v-6","v-3",0.0212
"v-6","v-4",0.0213
"v-6","v-5",0.0213
"v-6","v-10",0.0211
"v-6","v-15",0.0214
"v-6","v-16",0.0204
"v-6","v-17",0.022
"v-6","v-19",0.0226
"v-6","v-20",0.0208
"v-6","v-24",0.0209
"v-6","v-25",0.0231
"v-6","v-28",0.0227
"v-6","v-29",0.021
"v-6","v-30",0.0205
"v-6","v-31",0.0207
"v-6","v-32",0.0205
"v-6","v-33",0.0218
"v-6","v-34",0.0212
"v-6","v-35",0.0213
"v-6","v-36",0.0219
"v-6","v-38",0.0206
"v-6","v-39",0.0208
"v-6","v-42",0.0217
"v-6","v-43",0.0215
"v-6","v-46",0.0217
"v-6","v-47",0.0204
"v-6","v-49",0.0205
"v-6","v-52",0.0212
"v-6","v-53",0.0217
"v-6","v-54",0.0207
"v-6","v-55",0.0207
"v-6","v-61",0.0211
"v-6","v-66",0.021
"v-6","v-67",0.0203
"v-6","v-68",0.0201
"v-6","v-70",0.0212
"v-6","v-71",0.023
"v-6","v-72",0.0212
"v-6","v-74",0.0202
"v-6","v-76",0.0222
"v-6","v-77",0.021
"v-6","v-83",0.0201
"v-6","v-86",0.0213
"v-6","v-88",0.0223
"v-6","v-90",0.0204
"v-6","v-91",0.0208
"v-6","v-92",0.0212
"v-6","v-94",0.0202
"v-6","v-95",0.0206
"v-6","v-96",0.0213
"v-6","v-98",0.0204
"v-7","v-4",0.0221
"v-7","v-5",0.0224
"v-7","v-8",0.0224
"v-7","v-10",0.0226
"v-7","v-12",0.0209
"v-7","v-13",0.0218
"v-7","v-14",0.0208
"v-7","v-17",0.0219
"v-7","v-19",0.0214
"v-7","v-24",0.0225
"v-7","v-26",0.0231
"v-7","v-27",0.0202
"v-7","v-31",0.0201
"v-7","v-32",0.0225
"v-7","v-34",0.0209
"v-7","v-35",0.0202
"v-7","v-38",0.0207
"v-7","v-39",0.0203
"v-7","v-43",0.0217
"v-7","v-45",0.0201
"v-7","v-47",0.0205
"v-7","v-48",0.0207
"v-7","v-49",0.0203
"v-7","v-51",0.0211
"v-7","v-53",0.0223
"v-7","v-54",0.0224
"v-7","v-55",0.0218
"v-7","v-56",0.021
"v-7","v-57",0.0203
"v-7","v-58",0.0226
"v-7","v-59",0.0213
"v-7","v-64",0.021
"v-7","v-65",0.0205
"v-7","v-68",0.0206
"v-7","v-69",0.0201
"v-7","v-78",0.0201
"v-7","v-79",0.0218
"v-7","v-80",0.0228
"v-7","v-81",0.0206
"v-7","v-84",0.0227
"v-7","v-85",0.0225
"v-7","v-87",0.0232
"v-7","v-90",0.0208
"v-7","v-91",0.0203
"v-7","v-92",0.0202
"v-7","v-93",0.0217
"v-7","v-95",0.0207
"v-7","v-98",0.0221
"v-7","v-99",0.0227
"v-8","v-1",0.0215
"v-8","v-2",0.0227
"v-8","v-4",0.0207
"v-8","v-5",0.022
"v-8","v-7",0.0224
"v-8","v-9",0.0205
"v-8","v-11",0.0226
"v-8","v-12",0.021
"v-8","v-13",0.0209
"v-8","v-14",0.0221
"v-8","v-15",0.0213
"v-8","v-16",0.0212
"v-8","v-17",0.0216
"v-8","v-18",0.0202
"v-8","v-19",0.0201
"v-8","v-20",0.0206
"v-8","v-21",0.0221
"v-8","v-22",0.0218
"v-8","v-23",0.0207
"v-8","v-28",0.0202
"v-8","v-29",0.0204
"v-8","v-34",0.023
"v-8","v-35",0.0204
"v-8","v-37",0.0219
"v-8","v-41",0.0205
"v-8","v-42",0.0202
"v-8","v-43",0.0219
"v-8","v-44",0.0201
"v-8","v-45",0.0222
"v-8","v-46",0.0202
"v-8","v-47",0.0204
"v-8","v-48",0.0211
"v-8","v-49",0.0233
"v-8","v-51",0.0222
"v-8","v-57",0.021
"v-8","v-59",0.0214
"v-8","v-61",0.0227
"v-8","v-64",0.0232
"v-8","v-65",0.0209
"v-8","v-68",0.0214
"v-8","v-69",0.0201
"v-8","v-72",0.021
"v-8","v-73",0.0216
"v-8","v-74",0.0201
"v-8","v-75",0.0213
"v-8","v-78",0.0225
"v-8","v-81",0.0202
"v-8","v-83",0.0224
"v-8","v-84",0.0206
"v-8","v-85",0.0216
"v-8","v-87",0.0209
"v-8","v-91",0.0202
"v-8","v-93",0.0208
"v-8","v-98",0.0206
"v-8","v-99",0.0234
"v-9","v-1",0.0219
"v-9","v-2",0.0233
"v-9","v-3",0.0228
"v-9","v-8",0.0205
"v-9","v-10",0.0207
"v-9","v-12",0.0201
"v-9","v-13",0.0209
"v-9","v-23",0.0202
"v-9","v-25",0.0219
"v-9","v-26",0.0212
"v-9","v-29",0.0232
"v-9","v-31",0.0221
"v-9","v-35",0.022
"v-9","v-36",0.0223
"v-9","v-37",0.0215
"v-9","v-38",0.0222
"v-9","v-41",0.0212
"v-9","v-48",0.0206
"v-9","v-49",0.0203
"v-9","v-52",0.021
"v-9","v-56",0.0202
"v-9","v-58",0.0208
"v-9","v-59",0.0203
"v-9","v-61",0.0223
"v-9","v-65",0.0207
"v-9","v-69",0.0238
"v-9","v-70",0.0217
"v-9","v-74",0.0213
"v-9","v-76",0.0236
"v-9","v-77",0.0207
"v-9","v-79",0.0204
"v-9","v-81",0.0205
"v-9","v-82",0.021
"v-9","v-86",0.0211
"v-9","v-87",0.0213
"v-9","v-88",0.0228
"v-9","v-91",0.0208
"v-9","v-92",0.0222
"v-9","v-93",0.0215
"v-9","v-94",0.0206
"v-9","v-95",0.0207
"v-9","v-96",0.0228
"v-9","v-97",0.0213
"v-9","v-98",0.0241
