"Source","Target","Weight"
"v-1","v-3",0.03
"v-1","v-4",0.029
"v-1","v-5",0.0293
"v-1","v-7",0.0302
"v-1","v-9",0.0309
"v-1","v-11",0.0289
"v-1","v-12",0.0303
"v-1","v-13",0.0298
"v-1","v-16",0.0296
"v-1","v-17",0.0304
"v-1","v-18",0.0293
"v-1","v-19",0.0289
"v-1","v-22",0.0288
"v-1","v-23",0.0288
"v-1","v-24",0.0295
"v-1","v-25",0.0295
"v-1","v-26",0.03
"v-1","v-29",0.032
"v-1","v-32",0.0309
"v-1","v-35",0.0292
"v-1","v-36",0.0288
"v-1","v-37",0.0298
"v-1","v-39",0.0315
"v-1","v-40",0.0289
"v-1","v-41",0.0306
"v-1","v-42",0.0307
"v-1","v-43",0.0296
"v-1","v-45",0.03
"v-1","v-47",0.0306
"v-1","v-50",0.0299
"v-1","v-51",0.0301
"v-1","v-54",0.0326
"v-1","v-56",0.0315
"v-1","v-58",0.03
"v-1","v-59",0.0296
"v-1","v-61",0.0288
"v-1","v-64",0.0291
"v-1","v-65",0.0304
"v-1","v-68",0.0306
"v-1","v-69",0.0293
"v-1","v-70",0.0307
"v-2","v-6",0.0304
"v-2","v-11",0.0289
"v-2","v-12",0.0294
"v-2","v-13",0.0291
"v-2","v-14",0.0289
"v-2","v-17",0.032
"v-2","v-18",0.0311
"v-2","v-22",0.0294
"v-2","v-25",0.0292
"v-2","v-29",0.0295
"v-2","v-30",0.0314
"v-2","v-33",0.0304
"v-2","v-36",0.0298
"v-2","v-39",0.0319
"v-2","v-41",0.0288
"v-2","v-43",0.0303
"v-2","v-46",0.0303
"v-2","v-52",0.0296
"v-2","v-53",0.0309
"v-2","v-54",0.03
"v-2","v-60",0.0309
"v-2","v-63",0.0313
"v-2","v-65",0.0296
"v-2","v-68",0.0289
"v-2","v-69",0.0288
"v-2","v-70",0.029
"v-3","v-1",0.03
"v-3","v-5",0.0297
"v-3","v-7",0.0294
"v-3","v-8",0.0293
"v-3","v-11",0.0311
"v-3","v-13",0.03
"v-3","v-14",0.0292
"v-3","v-16",0.03
"v-3","v-18",0.0298
"v-3","v-19",0.0296
"v-3","v-22",0.0333
"v-3","v-25",0.0303
"v-3","v-27",0.0304
"v-3","v-30",0.0309
"v-3","v-32",0.0294
"v-3","v-37",0.0291
"v-3","v-38",0.0291
"v-3","v-39",0.0298
"v-3","v-40",0.0337
"v-3","v-41",0.0298
"v-3","v-44",0.0296
"v-3","v-45",0.0313
"v-3","v-47",0.0299
"v-3","v-50",0.0308
"v-3","v-51",0.0299
"v-3","v-53",0.029
"v-3","v-55",0.03
"v-3","v-56",0.0299
"v-3","v-57",0.0308
"v-3","v-60",0.0288
"v-3","v-62",0.0298
"v-3","v-63",0.03
"v-3","v-64",0.0316
"v-3","v-65",0.03
"v-3","v-68",0.03
"v-3","v-69",0.0305
"v-4","v-1",0.029
"v-4","v-6",0.0315
"v-4","v-7",0.0305
"v-4","v-9",0.029
"v-4","v-11",0.0315
"v-4","v-12",0.0296
"v-4","v-14",0.0307
"v-4","v-15",0.0296
"v-4","v-18",0.0306
"v-4","v-20",0.0293
"v-4","v-23",0.031
"v-4","v-24",0.0292
"v-4","v-26",0.0315
"v-4","v-27",0.0297
"v-4","v-28",0.0294
"v-4","v-30",0.0291
"v-4","v-33",0.0307
"v-4","v-35",0.0307
"v-4","v-36",0.0305
"v-4","v-37",0.0295
"v-4","v-38",0.0299
"v-4","v-39",0.0318
"v-4","v-42",0.0288
"v-4","v-43",0.0318
"v-4","v-44",0.0305
"v-4","v-46",0.029
"v-4","v-47",0.0288
"v-4","v-49",0.0291
