"Source","Target","Weight"
"v-1","v-2",0.1352
"v-1","v-3",0.0973
"v-1","v-4",0.1238
"v-1","v-5",0.1274
"v-1","v-6",0.1294
"v-1","v-7",0.1231
"v-1","v-8",0.1313
"v-1","v-9",0.1249
"v-1","v-10",0.1248
"v-1","v-11",0.1346
"v-1","v-12",0.1208
"v-1","v-13",0.1105
"v-1","v-14",0.1303
"v-1","v-15",0.1365
"v-1","v-16",0.1085
"v-1","v-17",0.1375
"v-1","v-18",0.1053
"v-1","v-19",0.1012
"v-1","v-20",0.1357
"v-1","v-21",0.1064
"v-1","v-22",0.1349
"v-1","v-23",0.106
"v-1","v-24",0.1278
"v-1","v-25",0.1372
"v-1","v-26",0.1206
"v-1","v-27",0.1346
"v-1","v-28",0.128
"v-1","v-29",0.1289
"v-1","v-30",0.1262
"v-1","v-31",0.1329
"v-1","v-32",0.1034
"v-1","v-33",0.1319
"v-1","v-34",0.1379
"v-1","v-35",0.1127
"v-1","v-36",0.1007
"v-1","v-37",0.1346
"v-1","v-38",0.1261
"v-1","v-39",0.1376
"v-1","v-40",0.123
"v-2","v-1",0.1352
"v-2","v-3",0.1005
"v-2","v-4",0.1194
"v-2","v-5",0.1108
"v-2","v-6",0.1031
"v-2","v-7",0.1037
"v-2","v-8",0.1015
"v-2","v-9",0.0984
"v-2","v-10",0.1014
"v-2","v-11",0.0988
"v-2","v-12",0.1045
"v-2","v-13",0.1179
"v-2","v-14",0.1273
"v-2","v-15",0.1412
"v-2","v-16",0.0941
"v-2","v-17",0.1684
"v-2","v-18",0.0974
"v-2","v-19",0.1077
"v-2","v-20",0.1713
"v-2","v-21",0.0967
"v-2","v-22",0.1569
"v-2","v-23",0.1037
"v-2","v-24",0.1538
"v-2","v-25",0.1436
"v-2","v-26",0.1312
"v-2","v-27",0.1556
"v-2","v-28",0.1014
"v-2","v-29",0.1504
"v-2","v-30",0.0966
"v-2","v-31",0.1382
"v-2","v-32",0.0983
"v-2","v-33",0.1562
